,jedit.csv,lamp.csv,triplea.csv,openintents.csv,dxengine.csv,hazelcast.csv,bullet.csv,qlc.csv,jmonkeyengine.csv,onotoa.csv,apertium.csv,lcfizvtop.csv,bionote.csv,kolmafia.csv,findbugs.csv,duplicati.csv,emono.csv
apertium.csv,0.68,0.24,0.64,0.56,0.59,0.62,0.38,0.0,0.39,0.41,0.7,0.4,0.22,0.69,0.37,0.24,0.31
bionote.csv,0.6,0.18,0.35,0.43,0.53,0.36,0.47,0.28,0.36,0.36,0.32,0.31,0.62,0.56,0.43,0.22,0.26
bullet.csv,0.63,0.18,0.67,0.57,0.56,0.8,0.72,0.18,0.43,0.56,0.37,0.17,0.22,0.61,0.45,0.53,0.6
dxengine.csv,0.0,0.21,0.24,0.45,0.6,0.23,0.65,0.19,0.09,0.72,0.42,0.5,0.11,0.04,0.27,0.32,0.47
emono.csv,0.6,0.19,0.77,0.51,0.33,0.84,0.78,0.32,0.38,0.75,0.39,0.07,0.13,0.66,0.56,0.91,0.73
findbugs.csv,0.6,0.31,0.54,0.56,0.42,0.87,0.79,0.34,0.54,0.69,0.19,0.27,0.23,0.61,0.56,0.95,0.62
hazelcast.csv,0.71,0.25,0.7,0.59,0.56,0.95,0.76,0.28,0.42,0.82,0.51,0.32,0.29,0.74,0.44,0.9,0.64
jedit.csv,0.7,0.32,0.71,0.57,0.59,0.92,0.82,0.27,0.37,0.89,0.5,0.35,0.21,0.68,0.51,0.97,0.71
jmonkeyengine.csv,0.13,0.18,0.32,0.4,0.53,0.32,0.7,0.26,0.55,0.72,0.34,0.27,0.3,0.18,0.33,0.56,0.71
kolmafia.csv,0.63,0.24,0.68,0.59,0.59,0.76,0.83,0.25,0.44,0.8,0.5,0.3,0.28,0.73,0.42,0.68,0.75
lamp.csv,0.69,0.35,0.66,0.52,0.6,0.9,0.74,0.27,0.36,0.71,0.51,0.3,0.4,0.71,0.47,0.59,0.79
lcfizvtop.csv,0.46,0.25,0.48,0.62,0.51,0.57,0.63,0.29,0.36,0.54,0.32,0.48,0.38,0.69,0.39,0.59,0.45
onotoa.csv,0.54,0.1,0.38,0.52,0.2,0.81,0.76,0.27,0.33,0.76,0.34,0.16,0.18,0.31,0.52,0.8,0.66
openintents.csv,0.52,0.18,0.56,0.67,0.29,0.79,0.66,0.17,0.41,0.54,0.28,0.26,0.19,0.61,0.49,0.74,0.54
qlc.csv,0.52,0.18,0.64,0.55,0.37,0.74,0.73,0.37,0.41,0.68,0.31,0.15,0.5,0.67,0.46,0.65,0.56
triplea.csv,0.64,0.22,0.73,0.58,0.55,0.93,0.83,0.29,0.42,0.76,0.57,0.38,0.25,0.67,0.57,0.92,0.69
