,beast-mcmc.csv,amanda.csv,lphant.csv,nativeclient.csv,moving-pictures.csv,columba.csv,ldview.csv,atunes.csv
amanda.csv,0.4,0.71,0.43,0.45,0.13,0.34,0.51,0.09
atunes.csv,0.43,0.56,0.52,0.68,0.54,0.5,0.52,0.19
beast-mcmc.csv,0.63,0.63,0.55,0.34,0.58,0.42,0.55,0.09
columba.csv,0.46,0.61,0.62,0.51,0.54,0.57,0.47,0.13
ldview.csv,0.49,0.64,0.59,0.53,0.64,0.52,0.63,0.13
lphant.csv,0.48,0.61,0.68,0.5,0.6,0.54,0.5,0.13
moving-pictures.csv,0.49,0.61,0.28,0.15,0.63,0.43,0.44,0.08
nativeclient.csv,0.43,0.63,0.58,0.69,0.48,0.33,0.42,0.08
