,beast-mcmc.csv,amanda.csv,lphant.csv,nativeclient.csv,moving-pictures.csv,columba.csv,ldview.csv,atunes.csv
amanda.csv,0.28,0.76,0.38,0.73,0.67,0.31,0.46,0.05
atunes.csv,0.29,0.5,0.46,0.63,0.45,0.38,0.38,0.11
beast-mcmc.csv,0.54,0.46,0.44,0.82,0.51,0.42,0.41,0.05
columba.csv,0.32,0.56,0.58,0.67,0.46,0.51,0.38,0.07
ldview.csv,0.39,0.53,0.42,0.71,0.47,0.42,0.56,0.07
lphant.csv,0.33,0.55,0.74,0.67,0.56,0.42,0.44,0.07
moving-pictures.csv,0.43,0.58,0.57,0.8,0.7,0.34,0.42,0.04
nativeclient.csv,0.33,0.67,0.43,0.75,0.61,0.3,0.47,0.04
