,beast-mcmc.csv,amanda.csv,lphant.csv,nativeclient.csv,moving-pictures.csv,columba.csv,ldview.csv,atunes.csv
amanda.csv,0.7,0.18,0.55,0.17,0.03,0.34,0.38,0.59
atunes.csv,0.71,0.55,0.45,0.64,0.74,0.5,0.76,0.24
beast-mcmc.csv,0.24,1.0,0.61,0.07,0.58,0.23,0.65,0.69
columba.csv,0.72,0.47,0.33,0.28,0.68,0.26,0.57,0.37
ldview.csv,0.37,0.6,0.94,0.25,0.97,0.41,0.32,0.39
lphant.csv,0.7,0.5,0.15,0.28,0.45,0.44,0.41,0.42
moving-pictures.csv,0.28,0.42,0.09,0.03,0.23,0.45,0.38,0.37
nativeclient.csv,0.47,0.25,0.76,0.3,0.23,0.35,0.24,0.92
