,beast-mcmc.csv,amanda.csv,lphant.csv,nativeclient.csv,moving-pictures.csv,columba.csv,ldview.csv,atunes.csv
amanda.csv,0.56,0.7,0.49,0.36,0.09,0.42,0.58,0.65
atunes.csv,0.59,0.58,0.58,0.62,0.51,0.68,0.55,0.77
beast-mcmc.csv,0.76,0.0,0.62,0.25,0.61,0.45,0.64,0.66
columba.csv,0.62,0.64,0.68,0.45,0.53,0.67,0.57,0.74
ldview.csv,0.64,0.66,0.24,0.47,0.13,0.67,0.7,0.77
lphant.csv,0.65,0.64,0.67,0.43,0.62,0.72,0.57,0.76
moving-pictures.csv,0.59,0.63,0.21,0.1,0.6,0.57,0.5,0.48
nativeclient.csv,0.6,0.62,0.57,0.64,0.43,0.4,0.42,0.3
