,qtractor.csv,alleg.csv,ossbuild.csv,mimosa.csv,quarkplayer.csv,freewrl.csv,google-web-toolkit.csv,ns-3-dev-def-routing.csv,jstock.csv,synergyspace.csv,jcache.csv,fulguro.csv,miranda.csv
alleg.csv,0.29,0.36,0.63,0.36,0.41,0.25,0.39,0.44,0.42,0.66,0.07,0.51,0.71
freewrl.csv,0.62,0.84,0.84,0.74,0.76,0.38,0.63,0.61,0.63,0.8,0.2,0.56,0.88
fulguro.csv,0.5,0.36,0.0,0.48,0.42,0.62,0.01,0.42,0.81,0.52,0.98,0.32,0.0
google-web-toolkit.csv,0.33,0.11,0.26,0.69,0.23,0.33,0.4,0.43,0.6,0.73,0.78,0.23,0.47
jcache.csv,0.62,0.95,0.71,0.4,0.94,0.83,0.66,0.85,0.53,0.18,0.17,1.0,0.71
jstock.csv,0.38,0.07,0.15,0.1,0.4,0.46,0.26,0.4,0.21,0.14,0.07,0.47,0.15
mimosa.csv,0.79,1.0,0.85,0.24,0.91,0.75,0.8,0.89,0.74,0.49,0.2,0.91,0.69
miranda.csv,0.21,0.16,0.04,0.0,0.02,0.0,0.03,0.4,0.02,0.18,0.12,0.65,0.43
ns-3-dev-def-routing.csv,0.17,0.93,0.89,0.71,0.59,0.12,0.46,0.35,0.09,0.59,0.07,0.84,0.67
ossbuild.csv,0.25,0.73,0.22,0.12,0.55,0.58,0.54,0.39,0.07,0.11,0.02,0.91,0.46
qtractor.csv,0.25,0.75,1.0,0.19,0.69,0.04,0.46,0.43,0.16,0.27,0.15,0.89,0.6
quarkplayer.csv,0.29,0.33,0.57,0.4,0.32,0.0,0.18,0.29,0.14,0.24,0.71,0.16,0.17
synergyspace.csv,0.33,0.71,0.5,0.24,0.63,0.25,0.51,0.47,0.53,0.29,0.78,0.52,0.12
