,opentibia.csv,x-ray-mule.csv,jython.csv,unbvision.csv,galaxium.csv,power-architect.csv,ondex.csv,fleet-simulator.csv,ninject.csv
fleet-simulator.csv,0.08,0.15,0.98,0.04,0.25,0.14,0.36,0.0,0.04
galaxium.csv,0.25,0.2,0.87,0.06,0.01,0.14,0.25,1.0,0.04
jython.csv,0.58,0.8,0.0,0.96,0.79,0.93,0.73,1.0,0.95
ninject.csv,0.08,0.15,0.96,0.05,0.2,0.36,0.2,0.38,0.0
ondex.csv,0.42,0.0,0.04,0.04,0.34,0.36,0.0,0.25,0.38
opentibia.csv,0.0,0.85,1.0,0.73,0.82,0.79,0.63,1.0,0.56
power-architect.csv,0.83,0.7,1.0,0.67,0.94,0.0,0.82,1.0,0.76
unbvision.csv,0.33,0.4,0.09,0.0,0.31,0.14,0.36,0.0,0.16
x-ray-mule.csv,0.33,0.0,0.05,0.87,0.6,0.36,0.63,0.0,0.67
