,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,silvertree.csv,mumble.csv,t-2.csv,skia.csv,geochat.csv
adaptagrams.csv,0.85,0.74,0.56,0.55,0.64,0.04,0.6,0.19,0.35,0.1
aime.csv,0.62,0.59,0.56,0.0,0.64,0.08,0.28,0.08,0.17,0.07
badtrinitycore.csv,0.0,0.04,0.46,0.81,0.5,0.68,0.72,0.26,0.48,0.27
electric-core.csv,0.92,0.59,0.61,0.64,0.86,0.92,0.72,0.66,0.65,0.63
geochat.csv,0.65,1.0,0.48,0.09,0.5,0.0,0.16,0.1,0.26,0.53
mumble.csv,0.96,1.0,0.37,0.09,1.0,0.76,0.84,0.24,0.52,0.6
olsrd.csv,1.0,0.76,0.61,0.79,0.79,0.68,0.96,0.77,0.87,0.83
silvertree.csv,1.0,0.53,0.82,0.77,0.21,0.72,0.92,0.95,0.78,0.33
skia.csv,0.85,0.65,0.6,0.77,0.5,0.28,0.48,0.43,0.65,0.37
t-2.csv,0.58,0.57,0.37,0.53,0.86,0.84,0.64,0.62,0.57,0.73
