,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,mpqc.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,zildo.csv,fluidium.csv,pamguard.csv,customsagetv.csv
checker-framework.csv,0.35,0.5,0.55,0.32,0.18,0.31,0.34,0.45,0.92,0.22,0.17,0.33,0.56,0.52,0.57,0.23
customsagetv.csv,0.29,0.15,0.32,0.15,0.0,0.07,0.05,0.0,0.22,0.15,0.11,0.1,0.22,0.0,0.35,0.99
fluidium.csv,0.22,0.37,0.13,0.4,0.19,0.23,0.13,0.32,0.06,0.25,0.32,0.26,0.43,1.0,0.35,0.43
guineu.csv,0.96,0.15,0.55,0.37,0.39,0.05,0.08,0.51,0.23,0.1,0.17,0.15,0.31,0.0,0.18,0.72
inkscape.csv,0.18,0.41,0.13,0.37,0.29,0.29,0.99,0.41,0.38,0.42,0.34,0.53,0.15,0.42,0.36,0.03
mpqc.csv,0.24,0.28,0.32,0.34,0.2,0.95,0.1,0.48,0.19,0.14,0.63,0.24,0.38,0.24,0.43,0.69
nsis.csv,0.5,0.57,0.87,0.3,0.31,0.24,0.7,0.62,0.28,0.37,1.0,0.84,0.61,0.61,0.74,0.71
octave.csv,0.47,0.39,0.75,0.43,0.93,0.16,0.21,0.61,0.32,0.17,0.11,0.19,0.44,0.0,0.28,0.68
owfs.csv,0.16,0.17,0.16,1.0,0.32,0.05,0.04,0.34,0.19,0.1,0.37,0.05,0.36,0.08,0.16,0.0
owlib.csv,0.54,0.96,0.85,0.33,0.26,0.23,0.55,0.49,0.29,0.31,0.86,0.59,0.54,0.52,0.69,0.72
pamguard.csv,0.39,0.36,0.87,0.28,0.21,0.36,0.51,0.48,0.35,0.36,0.74,0.73,0.67,0.39,0.98,0.25
prelude.csv,0.46,0.52,0.99,0.29,0.31,0.26,0.72,0.54,0.34,0.27,0.88,0.77,0.56,0.37,0.74,0.71
robocode.csv,0.6,0.46,0.58,0.34,0.31,0.1,0.31,0.98,0.31,0.42,0.3,0.19,0.61,0.38,0.52,0.61
uwom-server.csv,0.42,0.19,0.0,0.37,0.0,0.12,0.39,0.43,0.22,0.94,0.07,0.1,0.48,0.15,0.44,0.68
zengine.csv,0.45,0.56,0.88,0.3,0.4,0.3,0.74,0.62,0.47,0.41,0.74,1.0,0.68,0.54,0.77,0.69
zildo.csv,0.54,0.49,0.6,0.39,0.11,0.09,0.46,0.38,0.32,0.35,0.11,0.41,0.98,0.5,0.49,0.16
