,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,all-plasm.csv,openmsx.csv,quark.csv,pnotepad.csv,gss.csv,growl-for-windows.csv,tango-cs.csv
all-plasm.csv,0.84,0.94,0.7,0.94,0.91,0.92,0.56,0.91,0.62,0.74,0.43,0.9,0.57
gamestone.csv,0.88,0.5,0.94,0.54,0.81,0.0,0.53,0.92,0.88,0.75,0.88,0.75,0.42
gbif-providertoolkit.csv,0.68,0.76,0.85,0.51,0.57,0.47,0.92,0.74,0.6,0.77,0.42,0.69,0.94
growl-for-windows.csv,0.41,0.67,0.0,0.0,0.44,0.6,0.31,0.0,0.0,0.0,0.35,0.62,0.0
gss.csv,0.38,0.42,0.33,0.31,0.32,0.37,0.3,0.38,0.34,0.42,0.42,0.32,0.3
heekscad.csv,0.37,0.55,0.42,0.39,0.38,0.35,0.38,0.46,0.36,0.37,0.56,0.36,0.36
igarden.csv,0.46,0.67,0.51,0.5,0.59,0.53,0.3,0.83,0.41,0.69,0.6,0.75,0.36
levent.csv,0.94,0.0,0.0,0.0,0.33,0.45,0.3,0.0,0.0,0.0,0.5,0.4,0.0
openmsx.csv,0.5,0.42,0.65,0.32,0.54,0.58,0.31,0.74,0.88,0.53,0.45,0.53,0.95
pnotepad.csv,0.41,0.55,0.36,0.31,0.35,0.43,0.3,0.43,0.34,0.42,0.41,0.37,0.32
quark.csv,0.51,0.67,0.74,0.88,0.91,0.5,0.83,0.92,0.61,0.9,0.83,0.0,0.53
tango-cs.csv,0.51,0.62,0.46,0.37,0.4,0.38,0.52,0.42,0.34,0.47,0.42,0.5,0.49
xcsoar.csv,0.37,0.7,0.39,0.39,0.48,0.48,0.42,0.45,0.34,0.6,0.55,0.53,0.43
