,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,all-plasm.csv,openmsx.csv,quark.csv,pnotepad.csv,gss.csv,growl-for-windows.csv,tango-cs.csv
all-plasm.csv,0.75,1.06,0.7,0.82,0.76,0.78,0.38,0.91,0.38,0.66,0.72,0.53,0.69
gamestone.csv,0.9,0.21,0.87,0.73,0.83,1.0,0.89,0.86,1.01,0.94,0.77,0.94,0.82
gbif-providertoolkit.csv,0.78,1.18,0.75,0.62,0.33,0.61,0.59,0.76,0.8,0.84,1.04,0.45,0.78
growl-for-windows.csv,0.5,0.88,1.0,1.0,0.43,0.74,0.93,1.0,1.0,1.0,0.82,0.32,1.0
gss.csv,0.47,0.35,0.67,0.85,0.86,0.69,1.0,0.83,1.0,0.41,0.33,0.91,0.82
heekscad.csv,0.33,0.37,0.48,0.59,0.66,0.67,0.71,0.64,0.71,0.62,0.5,0.75,0.67
igarden.csv,0.55,0.65,0.54,0.5,0.48,0.5,0.75,0.81,0.43,0.69,0.62,0.81,0.8
levent.csv,0.79,0.88,1.0,1.0,0.72,0.45,0.97,1.0,1.0,1.0,0.39,0.69,1.0
openmsx.csv,0.9,0.9,0.74,0.89,0.53,0.66,0.93,0.56,0.73,0.83,0.61,0.8,0.84
pnotepad.csv,0.43,0.61,0.76,0.97,0.91,0.6,0.99,0.88,1.0,0.1,0.5,0.89,0.86
quark.csv,0.6,0.75,0.64,0.91,0.72,0.96,0.63,0.89,0.28,0.79,0.87,0.97,0.78
tango-cs.csv,0.77,0.55,0.72,0.71,0.78,0.66,0.7,0.74,0.98,0.77,0.7,0.73,0.5
xcsoar.csv,0.4,0.77,0.39,0.6,0.45,0.7,0.76,0.7,1.0,0.79,0.72,0.54,0.71
