,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,all-plasm.csv,openmsx.csv,quark.csv,pnotepad.csv,gss.csv,growl-for-windows.csv,tango-cs.csv
all-plasm.csv,0.6,0.0,0.49,0.35,0.18,0.85,0.64,0.55,0.43,0.87,0.6,0.86,0.41
gamestone.csv,1.0,0.44,0.44,0.29,0.14,0.0,0.26,0.42,0.0,0.75,0.88,0.42,0.32
gbif-providertoolkit.csv,0.59,0.0,0.44,0.35,0.39,0.75,0.69,0.37,0.16,0.77,0.47,0.85,0.59
growl-for-windows.csv,0.87,0.33,0.0,0.0,0.31,0.87,0.43,0.0,0.0,0.0,0.6,0.9,0.0
gss.csv,0.76,0.29,0.52,0.31,0.17,0.7,0.4,0.38,0.2,0.94,0.85,0.61,0.4
heekscad.csv,0.84,0.3,0.61,0.37,0.21,0.7,0.41,0.46,0.26,0.87,0.94,0.64,0.46
igarden.csv,0.9,0.25,0.65,0.45,0.36,0.84,0.45,0.54,0.34,0.94,0.8,0.88,0.36
levent.csv,0.89,1.0,0.0,0.0,0.19,0.82,0.42,0.0,0.0,0.0,0.81,0.68,0.0
openmsx.csv,0.62,0.15,0.42,0.31,0.26,0.72,0.42,0.57,0.25,0.79,0.67,0.67,0.38
pnotepad.csv,0.84,0.18,0.48,0.31,0.17,0.74,0.37,0.33,0.2,1.0,0.72,0.57,0.43
quark.csv,0.82,0.67,0.87,0.38,0.36,1.0,0.67,0.58,0.48,1.0,0.67,1.0,0.35
tango-cs.csv,0.64,0.19,0.45,0.32,0.2,0.71,0.43,0.42,0.2,0.82,0.61,0.65,0.55
xcsoar.csv,0.85,0.2,0.7,0.37,0.33,0.74,0.38,0.42,0.2,1.0,0.6,0.76,0.39
