,beast-mcmc.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jbasic.csv,apertium.csv,exist.csv,wheat.csv,power-architect.csv,bigdata.csv,wsmt.csv,opendvr.csv,icescrum.csv,codesmith.csv
apertium.csv,0.51,0.74,0.75,0.53,0.75,0.66,0.96,0.49,0.3,0.7,0.87,0.68,0.78,0.98,0.87,0.68,0.75
beast-mcmc.csv,0.38,0.83,0.6,0.67,0.61,0.61,0.8,0.53,0.87,0.93,0.62,0.48,0.52,0.76,0.84,0.78,0.54
bigdata.csv,0.66,0.73,0.7,0.6,0.64,0.8,1.0,0.8,0.96,0.7,0.89,0.8,0.44,0.74,0.87,0.69,0.75
codesmith.csv,0.8,0.84,0.71,0.7,0.73,0.79,0.67,0.86,1.0,0.5,0.7,0.93,0.78,0.63,0.89,0.74,0.3
cuberok.csv,0.51,0.78,0.72,0.67,0.85,0.69,0.48,0.52,0.65,0.93,0.79,0.69,0.61,0.61,1.0,0.73,0.9
exist.csv,0.89,0.9,0.83,0.51,1.0,0.99,0.89,1.0,0.9,0.35,0.85,0.76,0.64,0.97,1.0,0.82,1.0
icescrum.csv,0.4,0.68,0.65,0.43,0.73,0.58,0.62,0.46,0.54,0.64,0.54,0.61,0.63,1.13,0.74,0.19,0.81
jbasic.csv,0.86,0.85,0.69,0.82,0.87,0.84,0.6,0.46,0.95,0.99,0.82,1.0,0.61,1.07,1.0,0.91,0.81
jrefactory.csv,0.89,0.51,0.87,0.85,0.83,0.77,0.73,0.75,0.81,0.87,0.67,0.82,0.81,0.93,0.75,0.7,0.98
jsecurity.csv,0.72,0.83,0.4,0.78,0.71,0.67,0.78,0.92,0.86,0.56,0.81,0.74,0.82,0.91,0.87,0.84,0.67
libopenmetaverse.csv,0.75,0.84,0.82,0.47,0.54,0.69,0.58,0.9,0.57,0.81,0.76,0.79,0.92,1.01,0.8,0.54,0.74
mobicents.csv,0.51,0.71,0.59,0.5,0.97,0.47,0.79,0.73,0.56,0.95,0.7,0.72,0.66,0.75,0.95,0.81,0.94
opendvr.csv,0.5,1.0,0.47,0.5,1.0,0.53,0.48,0.53,0.62,0.56,0.68,1.0,0.8,0.87,0.45,0.54,0.94
power-architect.csv,0.71,0.86,0.47,0.59,0.92,0.8,0.97,0.69,0.75,0.93,0.96,0.3,0.59,0.59,1.0,0.97,1.0
sidekar.csv,1.0,1.0,1.0,0.32,1.0,1.0,0.86,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
wheat.csv,0.68,0.97,0.69,0.83,0.88,0.66,0.62,0.95,0.61,0.86,0.41,0.54,0.67,0.91,0.64,0.49,0.89
wsmt.csv,0.86,0.93,0.93,0.98,0.94,0.85,1.0,0.85,0.93,0.88,0.93,0.93,0.81,0.28,1.0,1.0,0.87
