,beast-mcmc.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jbasic.csv,apertium.csv,exist.csv,wheat.csv,power-architect.csv,bigdata.csv,wsmt.csv,opendvr.csv,icescrum.csv,codesmith.csv
apertium.csv,0.71,0.33,0.26,0.59,0.33,0.41,0.05,0.63,0.8,0.33,0.14,0.54,0.26,0.34,0.14,0.74,0.31
beast-mcmc.csv,0.73,0.63,0.9,0.67,0.64,0.57,0.64,0.65,0.8,0.96,0.79,0.61,0.54,0.4,0.91,0.79,0.8
bigdata.csv,0.35,0.31,0.38,0.47,0.53,0.23,1.0,0.22,0.04,0.39,0.82,0.2,0.73,0.29,0.18,0.42,0.28
codesmith.csv,0.24,0.29,0.31,0.61,0.39,0.56,0.55,0.79,0.0,0.6,0.79,0.5,0.23,0.54,0.5,0.32,0.86
cuberok.csv,0.58,0.29,0.51,0.44,0.72,0.53,0.73,0.62,0.56,0.95,0.46,0.61,0.71,0.54,1.0,0.37,0.22
exist.csv,0.94,0.9,0.95,0.75,0.97,0.96,0.95,0.97,0.88,0.75,0.86,0.59,0.49,1.0,1.0,0.74,0.98
icescrum.csv,0.79,0.45,0.44,0.62,0.31,0.65,0.5,0.75,0.72,0.38,0.5,0.43,0.45,0.37,0.32,0.89,0.2
jbasic.csv,0.91,0.69,0.82,0.97,0.86,0.92,0.82,0.87,1.0,1.0,0.21,1.0,0.48,0.37,1.0,1.0,0.67
jrefactory.csv,0.64,0.65,0.72,0.41,0.22,0.36,0.59,0.38,0.48,0.14,0.61,0.2,0.27,0.97,0.36,0.47,0.89
jsecurity.csv,0.29,0.33,0.72,0.23,0.72,0.37,0.5,0.08,0.28,0.48,0.21,0.3,0.21,0.31,0.14,0.16,0.55
libopenmetaverse.csv,0.94,0.96,0.95,0.66,0.58,0.82,0.5,0.92,0.48,0.2,0.86,0.24,0.93,0.54,0.23,0.79,0.27
mobicents.csv,0.71,0.49,0.44,0.55,0.94,0.67,0.82,0.97,0.68,0.96,0.61,0.67,0.72,0.54,0.86,0.79,0.25
opendvr.csv,0.85,0.51,0.59,0.66,0.94,0.66,0.73,0.65,0.44,0.8,0.54,0.96,0.84,0.23,0.64,0.79,0.3
power-architect.csv,0.59,0.73,0.85,0.66,0.89,0.79,1.0,0.35,0.8,0.96,1.0,0.74,0.72,0.83,1.0,1.0,1.0
sidekar.csv,0.0,0.0,0.0,0.77,0.0,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
wheat.csv,0.41,0.14,0.36,0.17,0.69,0.41,0.45,0.05,0.48,0.93,0.68,0.54,0.39,0.11,0.59,0.68,0.91
wsmt.csv,0.15,0.08,0.08,0.02,0.06,0.22,0.0,0.16,0.08,0.13,0.07,0.11,0.25,0.8,0.0,0.0,0.2
