,recall,precision,pf,pci_20,ifa,wins
acdk.csv,0.33,0.57,0.15,0.6,1.0,606
acegisecurity.csv,0.61,0.43,0.46,0.49,2.0,390
adaptagrams.csv,0.32,0.5,0.18,0.64,1.0,583
adobe-source.csv,0.49,0.38,0.43,0.55,2.0,256
agilitybook.csv,0.41,0.45,0.32,0.61,2.0,486
aime.csv,0.21,0.35,0.21,0.81,3.0,448
all-plasm.csv,0.33,0.44,0.26,0.75,2.0,563
alleg.csv,0.44,0.41,0.35,0.54,2.0,335
alpine.csv,0.74,0.42,0.62,0.43,2.0,250
alsa.csv,0.67,0.44,0.5,0.45,2.0,383
amanda.csv,0.59,0.46,0.46,0.52,2.0,455
amateur-scrolls.csv,0.26,0.38,0.18,0.73,2.0,490
ambulant.csv,0.58,0.39,0.55,0.56,2.0,251
amygdala.csv,0.4,0.4,0.34,0.62,1.0,412
anaxagora.csv,0.63,0.44,0.48,0.42,2.0,307
apertium.csv,0.2,0.39,0.14,0.57,2.0,300
apolloplayer.csv,0.57,0.4,0.49,0.5,2.0,253
applet2app.csv,0.59,0.5,0.34,0.46,1.0,548
arcallians.csv,0.7,0.42,0.59,0.48,2.0,302
archive-crawler.csv,0.34,0.49,0.21,0.71,1.0,595
ardour.csv,0.48,0.52,0.28,0.48,1.0,551
arm-webradio.csv,0.39,0.39,0.38,0.63,2.0,313
array4j.csv,0.3,0.33,0.33,0.62,3.0,143
atunes.csv,0.67,0.42,0.53,0.43,2.0,273
auber.csv,0.78,0.41,0.67,0.45,2.0,243
aufs.csv,0.4,0.38,0.35,0.64,2.0,363
autat.csv,0.4,0.48,0.23,0.6,1.0,567
autoopencas.csv,0.26,0.26,0.4,0.8,3.0,113
autowikibrowser.csv,0.64,0.46,0.46,0.36,1.0,315
avifile.csv,0.45,0.35,0.52,0.67,2.0,201
avisynth2.csv,0.02,0.25,0.02,0.67,3.0,95
awemud.csv,0.55,0.49,0.34,0.44,1.0,496
aztec.csv,0.41,0.5,0.24,0.58,1.0,574
azureus.csv,0.82,0.39,0.74,0.4,2.0,121
baadengine.csv,0.96,0.4,0.91,0.38,2.0,88
bacnet.csv,0.46,0.45,0.33,0.56,1.0,482
