,flylinkdc.csv,xbrlapi.csv,vdsf.csv,nuttx.csv,maidsafe-dht.csv,dvt.csv,ldview.csv,red5.csv,ctrlr.csv,ipfire-wall.csv,gnome-jabber.csv,jruby.csv,oorexx.csv,fulguro.csv
ctrlr.csv,0.14,0.05,0.0,0.17,0.21,0.19,0.19,0.28,0.9,0.11,0.32,0.12,0.06,0.18
dvt.csv,0.43,0.43,0.85,0.4,0.14,0.98,0.33,0.21,0.19,0.22,0.13,0.43,0.14,0.09
flylinkdc.csv,0.97,0.05,0.05,0.01,0.79,0.19,0.33,0.21,0.29,0.5,0.11,0.13,0.22,0.18
fulguro.csv,0.08,0.21,0.52,0.07,0.29,0.21,0.19,0.28,0.33,0.28,0.17,0.06,0.08,1.0
gnome-jabber.csv,0.95,0.98,1.0,0.85,0.86,0.93,0.86,0.81,0.9,0.94,1.0,0.97,0.69,1.0
ipfire-wall.csv,0.22,0.31,0.46,0.08,0.21,0.24,0.1,0.37,0.33,1.0,0.15,0.24,0.19,0.27
jruby.csv,0.81,0.48,1.0,0.92,1.0,0.48,0.71,0.37,0.57,0.17,0.75,1.0,0.86,0.09
ldview.csv,0.57,0.52,0.79,0.93,0.64,0.45,0.9,0.35,0.24,0.22,0.76,0.75,0.56,0.27
maidsafe-dht.csv,0.14,0.19,0.1,0.02,0.93,0.05,0.24,0.28,0.1,0.22,0.27,0.12,0.17,0.0
nuttx.csv,0.84,0.9,0.64,0.99,0.71,0.88,0.0,0.56,0.05,0.44,0.38,0.79,0.47,0.82
oorexx.csv,0.68,0.48,0.41,0.39,0.79,0.48,0.52,0.72,0.33,0.61,0.29,0.42,1.0,0.55
red5.csv,0.41,0.45,0.35,0.18,0.43,0.4,0.29,1.0,0.52,0.39,0.22,0.51,0.22,0.36
vdsf.csv,0.54,0.9,0.85,0.79,0.71,0.45,1.0,0.91,1.0,0.83,0.96,0.72,0.92,0.91
xbrlapi.csv,0.43,0.93,0.9,0.99,0.43,0.43,0.48,0.65,0.57,0.83,0.95,0.67,0.64,0.55
