,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,mecat.csv,emite.csv
boost-sandbox.csv,0.3,0.2,0.43,0.31,0.56,0.23,0.75,0.35,0.46,0.49,0.07,0.6
bscwweasel.csv,0.04,0.0,0.45,0.41,0.55,0.29,0.42,0.37,0.37,0.49,0.11,0.27
capcode.csv,0.06,0.2,0.37,0.25,0.35,0.41,0.49,0.37,0.49,0.49,0.06,0.41
emite.csv,0.69,0.08,0.41,0.22,0.46,0.16,0.35,0.22,0.26,0.34,0.0,0.66
lamp.csv,0.65,0.29,0.39,0.24,0.44,0.23,0.82,0.49,0.33,0.54,0.09,0.23
mecat.csv,0.0,0.12,0.09,0.0,0.23,0.1,0.0,0.12,0.0,0.46,0.46,0.0
nodal.csv,0.02,0.22,0.44,0.23,0.41,0.41,0.09,0.3,0.57,0.51,0.06,0.2
pydev.csv,0.6,0.24,0.47,0.28,0.58,0.3,0.42,0.33,0.37,0.65,0.14,0.22
retromenu.csv,0.04,0.24,0.37,0.32,0.75,0.14,0.7,0.22,0.42,0.42,0.0,0.38
smbopensoft.csv,0.8,0.18,0.36,0.17,0.43,0.32,0.74,0.28,0.46,0.4,0.1,0.56
stuproa-cims.csv,0.0,0.25,0.4,0.29,0.56,0.19,0.04,0.58,0.29,0.42,0.08,0.37
thout.csv,0.65,0.18,0.5,0.24,0.43,0.26,0.84,0.41,0.42,0.45,0.07,0.55
