,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,mecat.csv,emite.csv
boost-sandbox.csv,0.81,0.62,0.55,0.51,0.63,0.78,0.55,0.79,0.81,0.67,0.79,0.88
bscwweasel.csv,0.98,1.0,0.51,0.41,0.49,0.64,0.74,0.78,0.68,0.63,0.71,0.85
capcode.csv,0.97,0.82,0.74,0.77,0.72,0.47,0.71,0.68,0.57,0.58,0.82,0.81
emite.csv,0.73,0.9,0.56,0.73,0.59,0.82,0.79,0.83,0.83,0.8,1.0,0.44
lamp.csv,0.98,0.54,0.67,0.69,0.94,0.85,0.95,0.51,0.72,0.54,0.97,0.86
mecat.csv,1.0,0.93,0.95,1.0,0.86,0.92,1.0,0.93,1.0,0.65,0.12,1.0
nodal.csv,0.99,0.73,0.56,0.63,0.81,0.47,0.95,0.76,0.46,0.61,0.8,0.88
pydev.csv,0.89,0.72,0.53,0.62,0.56,0.71,0.77,0.86,0.67,0.38,0.62,0.87
retromenu.csv,0.98,0.62,0.73,0.7,0.26,0.86,0.66,0.84,0.61,0.7,1.07,0.75
smbopensoft.csv,0.28,0.98,0.96,0.85,0.88,0.55,0.65,0.76,0.57,0.82,0.7,0.85
stuproa-cims.csv,1.0,0.86,0.62,0.67,0.55,0.84,0.98,0.43,0.78,0.72,0.76,0.74
thout.csv,0.74,0.99,0.48,0.76,0.75,0.96,1.0,0.92,0.97,0.64,0.94,0.9
