,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,mecat.csv,emite.csv
boost-sandbox.csv,0.24,0.61,0.55,0.7,0.71,0.54,0.67,0.51,0.53,0.61,0.36,0.39
bscwweasel.csv,0.02,0.0,0.59,0.67,0.6,0.46,0.32,0.53,0.39,0.61,0.37,0.26
capcode.csv,0.04,0.52,0.58,0.58,0.37,0.61,0.4,0.39,0.69,0.53,0.36,0.44
emite.csv,0.62,0.17,0.57,0.34,0.54,0.29,0.26,0.21,0.2,0.43,0.0,0.68
lamp.csv,0.09,0.54,0.39,0.61,0.26,0.46,0.21,0.64,0.45,0.65,0.13,0.19
mecat.csv,0.0,0.09,0.06,0.0,0.17,0.1,0.0,0.09,0.0,0.41,0.97,0.0
nodal.csv,0.01,0.33,0.52,0.55,0.52,0.61,0.06,0.29,0.61,0.62,0.36,0.16
pydev.csv,0.4,0.33,0.54,0.69,0.74,0.65,0.33,0.46,0.43,0.74,0.75,0.19
retromenu.csv,0.02,0.47,0.32,0.35,0.87,0.2,0.59,0.21,0.47,0.36,0.0,0.3
smbopensoft.csv,0.8,0.09,0.2,0.47,0.43,0.69,0.63,0.35,0.65,0.48,0.58,0.48
stuproa-cims.csv,0.0,0.17,0.45,0.4,0.72,0.2,0.02,0.65,0.41,0.53,0.36,0.33
thout.csv,0.59,0.05,0.6,0.29,0.56,0.17,0.0,0.32,0.13,0.54,0.35,0.38
