,neoengine.csv,omseek.csv,pcsx2.csv,doomlegacy.csv
doomlegacy.csv,0.71,0.7,0.65,1.0
neoengine.csv,0.96,0.82,0.59,0.78
omseek.csv,0.05,0.94,0.09,0.09
pcsx2.csv,0.35,0.3,0.94,0.25
