,neoengine.csv,omseek.csv,pcsx2.csv,doomlegacy.csv
doomlegacy.csv,0.52,0.14,0.78,1.0
neoengine.csv,1.0,0.12,0.68,0.75
omseek.csv,0.67,1.0,0.7,0.78
pcsx2.csv,0.62,0.12,0.99,0.8
