,neoengine.csv,omseek.csv,pcsx2.csv,doomlegacy.csv
doomlegacy.csv,0.42,0.49,0.42,0.4
neoengine.csv,0.6,0.53,0.53,0.42
omseek.csv,0.89,0.97,0.96,0.89
pcsx2.csv,0.9,0.71,0.49,0.8
