,zscreen.csv,popeye-chess.csv,ossbuild.csv,quarkplayer.csv,turbotrader-bos.csv,omseek.csv,kml.csv,virtuoso.csv,gdis.csv,biodwh.csv,genoviz.csv
biodwh.csv,87.5,179.0,3809.5,731.0,190.0,712.0,97.5,197.5,97.5,174.0,180.0
gdis.csv,99.0,909.5,2339.5,3100.5,99.0,1758.0,97.5,98.5,98.5,1299.5,493.0
genoviz.csv,61.5,81.5,97.0,548.0,190.0,145.0,0.0,228.5,150.0,189.0,95.5
kml.csv,91.5,1728.0,4539.0,7429.5,99.0,587.0,97.5,98.5,97.5,384.0,194.0
omseek.csv,80.5,81.5,0.0,462.5,99.0,193.5,64.5,43.5,53.5,93.5,180.0
ossbuild.csv,91.5,549.5,965.5,3846.5,99.0,193.5,158.0,526.0,88.5,331.0,95.5
popeye-chess.csv,91.5,278.0,2311.0,2897.0,99.0,193.0,95.5,98.5,94.5,413.5,273.5
quarkplayer.csv,269.5,1360.0,2858.0,2047.5,99.0,1612.0,97.5,197.5,96.5,785.0,350.0
turbotrader-bos.csv,91.5,179.0,2442.0,1443.5,480.5,542.0,97.5,98.5,94.5,411.5,180.0
virtuoso.csv,99.0,166.0,0.0,6304.5,99.0,782.0,97.5,258.5,98.5,1440.0,194.0
zscreen.csv,91.5,361.0,4440.0,7541.5,99.0,94.5,193.0,197.5,97.5,414.5,194.0
