,zscreen.csv,popeye-chess.csv,ossbuild.csv,quarkplayer.csv,turbotrader-bos.csv,omseek.csv,kml.csv,virtuoso.csv,gdis.csv,biodwh.csv,genoviz.csv
biodwh.csv,0.41,0.65,0.14,0.2,0.58,0.29,0.69,0.36,0.67,0.6,0.21
gdis.csv,0.53,0.66,0.21,0.2,0.54,0.2,0.67,0.23,0.89,0.27,0.24
genoviz.csv,0.16,0.33,0.06,0.09,0.43,0.15,0.0,0.27,0.07,0.37,0.71
kml.csv,0.71,0.64,0.23,0.13,0.49,0.23,0.79,0.38,0.72,0.21,0.18
omseek.csv,0.2,0.2,0.0,0.17,0.44,0.39,0.05,0.09,0.13,0.27,0.46
ossbuild.csv,0.72,0.75,0.44,0.15,0.57,0.3,0.1,0.4,0.47,0.27,0.22
popeye-chess.csv,0.52,0.68,0.13,0.17,0.59,0.29,0.62,0.43,0.73,0.22,0.35
quarkplayer.csv,0.2,0.48,0.19,0.22,0.39,0.13,0.56,0.14,0.48,0.16,0.0
turbotrader-bos.csv,0.5,0.7,0.15,0.12,0.64,0.31,0.68,0.41,0.68,0.26,0.17
virtuoso.csv,0.72,0.62,0.0,0.13,0.48,0.21,0.65,0.46,0.92,0.27,0.21
zscreen.csv,0.77,0.68,0.28,0.12,0.5,0.24,0.68,0.4,0.7,0.3,0.24
