,zscreen.csv,popeye-chess.csv,ossbuild.csv,quarkplayer.csv,turbotrader-bos.csv,omseek.csv,kml.csv,virtuoso.csv,gdis.csv,biodwh.csv,genoviz.csv
biodwh.csv,0.26,0.57,0.31,0.45,0.66,0.39,0.75,0.88,0.51,0.75,0.6
gdis.csv,0.39,0.8,0.5,0.82,0.87,0.76,0.69,0.31,0.81,0.5,0.4
genoviz.csv,0.09,0.2,0.03,0.09,0.32,0.09,0.0,0.17,0.04,0.5,1.0
kml.csv,0.67,1.0,1.0,1.0,0.95,1.0,0.81,0.98,0.6,0.75,1.0
omseek.csv,0.11,0.11,0.0,0.18,0.41,0.64,0.03,0.05,0.07,0.5,0.6
ossbuild.csv,0.63,0.94,0.72,0.73,0.66,0.67,0.06,0.43,0.32,0.33,1.0
popeye-chess.csv,0.37,0.63,0.28,0.64,0.71,0.48,0.5,0.67,0.6,0.25,0.8
quarkplayer.csv,0.13,0.6,0.53,0.73,0.44,0.33,0.72,0.21,0.33,0.17,0.0
turbotrader-bos.csv,0.35,0.63,0.25,0.27,0.67,0.33,0.56,0.71,0.53,0.42,0.6
virtuoso.csv,0.85,0.51,0.0,0.91,0.77,0.85,0.94,0.43,0.98,0.67,0.8
zscreen.csv,0.65,0.71,0.94,1.0,0.87,0.64,0.72,0.76,0.56,0.83,1.0
