,werx.csv,plog4u.csv,fm-classic.csv,openxava.csv,vars-redux.csv,tcvp.csv,jcl.csv
fm-classic.csv,0.0,0.0,1.0,0.0,0.0,0.0,0.0
jcl.csv,0.0,0.0,0.0,0.0,0.08,0.0,1.0
openxava.csv,0.35,0.0,0.07,1.0,0.42,0.08,0.37
tcvp.csv,0.14,0.0,0.0,0.12,0.42,1.0,0.23
vars-redux.csv,0.47,0.11,0.2,0.29,0.96,0.2,0.16
werx.csv,1.0,0.02,0.08,0.2,0.58,0.2,0.22
