,pustefix.csv,haggle.csv,mediate.csv,jgossipforum.csv,madman.csv,hannosset.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv,emono.csv
coot.csv,0.5,0.49,0.57,0.6,0.31,0.58,0.29,0.73,0.3,0.58,0.43
emono.csv,0.89,0.71,0.9,0.77,0.57,0.71,0.79,0.8,0.57,0.81,0.36
haggle.csv,0.47,0.34,0.27,0.12,0.37,0.74,0.01,0.21,0.32,0.23,0.29
hannosset.csv,0.32,0.12,0.1,0.2,0.27,0.25,0.44,0.48,0.22,0.23,0.29
jas.csv,0.21,0.22,0.5,0.55,0.45,0.36,0.42,0.12,0.51,0.47,0.57
jgossipforum.csv,0.52,0.22,0.27,0.07,0.27,0.42,0.27,0.03,0.35,0.56,0.24
madman.csv,0.39,0.17,0.33,0.41,0.2,0.33,0.26,0.62,0.27,0.3,0.29
mediate.csv,0.42,0.24,0.43,0.45,0.27,0.52,0.21,0.41,0.32,0.44,0.17
ngl.csv,0.65,0.88,0.77,0.41,0.61,0.71,0.3,0.73,0.59,0.74,0.79
pustefix.csv,0.24,0.15,0.1,0.2,0.53,0.33,0.22,0.74,0.32,0.4,0.19
synecdoche.csv,0.23,0.12,0.4,0.36,0.9,0.32,0.32,0.48,0.14,0.21,0.95
