,pustefix.csv,haggle.csv,mediate.csv,jgossipforum.csv,madman.csv,hannosset.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv,emono.csv
coot.csv,0.3,0.57,0.54,0.2,0.88,0.5,0.52,0.38,0.72,0.55,0.51
emono.csv,0.61,0.68,0.87,0.8,0.62,0.83,0.72,0.88,0.72,0.9,0.68
haggle.csv,0.7,0.61,0.21,0.4,0.88,0.83,0.07,0.0,0.22,0.34,0.41
hannosset.csv,0.13,0.09,0.05,0.0,0.38,1.0,0.34,0.0,0.08,0.21,0.28
jas.csv,0.35,0.39,0.28,1.0,0.75,0.17,0.63,0.88,0.35,0.28,0.38
jgossipforum.csv,0.7,0.41,0.31,1.0,0.75,0.0,0.54,0.0,0.55,0.52,0.34
madman.csv,0.13,0.35,0.33,0.2,1.0,0.33,0.52,0.25,0.28,0.45,0.29
mediate.csv,0.35,0.51,0.67,0.8,0.5,0.5,0.42,0.62,0.65,0.55,0.35
ngl.csv,0.78,0.95,0.87,0.8,0.88,1.0,0.65,0.75,0.82,0.62,0.71
pustefix.csv,0.52,0.38,0.03,0.2,0.62,0.17,0.27,0.5,0.35,0.59,0.44
synecdoche.csv,0.43,0.11,0.46,0.2,1.0,0.5,0.26,0.12,0.35,0.66,0.96
