,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,proftp.csv,echongl.csv,tycho.csv,xpontus.csv,unicase.csv,uclmda.csv
echongl.csv,0.84,0.5,0.47,1.0,0.41,0.75,0.51,0.24,0.0,0.56,0.92,0.33
ivatamasks.csv,0.96,0.0,0.87,0.32,0.95,0.38,0.62,1.0,1.0,0.79,0.85,1.0
orc.csv,0.22,0.0,0.22,0.34,0.2,0.5,0.41,0.0,0.0,0.37,0.24,0.67
plato.csv,0.98,1.0,0.97,0.85,0.95,0.25,1.0,0.76,1.0,0.91,0.99,1.0
proftp.csv,0.04,0.0,0.13,0.09,0.0,0.5,0.24,0.05,0.0,0.15,0.13,0.0
tycho.csv,0.45,0.5,0.24,0.55,0.34,0.12,0.3,0.16,0.25,0.56,0.86,0.5
uclmda.csv,0.04,0.0,0.26,0.0,0.34,0.25,0.22,0.0,0.43,0.07,0.19,0.0
umber.csv,0.11,1.0,1.0,0.68,0.8,1.0,0.92,0.89,0.43,0.81,0.38,0.83
unicase.csv,0.24,0.0,0.79,0.87,0.49,0.75,0.89,0.26,0.71,0.73,0.4,0.67
vienna-add-in.csv,0.6,1.0,0.71,0.79,0.39,0.38,0.03,0.79,0.5,0.5,0.74,0.17
wpdev.csv,0.98,0.0,0.98,1.0,0.98,1.0,1.0,0.92,0.96,0.97,0.99,1.0
