,f1,g,recall,precision,pf,wins
echongl.csv,0.595,0.44499999999999995,0.71,0.6000000000000001,0.505,8
ivatamasks.csv,0.73,0.365,0.88,0.69,0.86,5
orc.csv,0.5,0.455,0.43,0.675,0.22999999999999998,7
plato.csv,0.795,0.11,0.995,0.685,0.975,4
proftp.csv,0.215,0.245,0.215,0.735,0.07,1
tycho.csv,0.46499999999999997,0.41000000000000003,0.4,0.705,0.395,3
uclmda.csv,0.07500000000000001,0.060000000000000005,0.05,0.605,0.13,0
umber.csv,0.735,0.405,0.8999999999999999,0.71,0.8200000000000001,9
unicase.csv,0.66,0.5700000000000001,0.8200000000000001,0.585,0.69,10
vienna-add-in.csv,0.6,0.49,0.61,0.665,0.55,6
wpdev.csv,0.795,0.09,1.0,0.67,0.98,2
