,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,proftp.csv,echongl.csv,tycho.csv,xpontus.csv,unicase.csv,uclmda.csv
echongl.csv,0.43,0.8,0.26,0.76,0.6,0.59,0.64,0.87,0.0,0.0,0.82,0.02
ivatamasks.csv,0.42,0.81,0.11,0.79,0.79,0.52,0.62,0.84,0.71,0.02,0.75,0.98
orc.csv,0.06,0.6,0.46,0.54,0.12,0.69,0.73,0.02,0.0,0.04,0.55,0.64
plato.csv,0.41,0.99,0.17,0.79,0.8,0.83,0.62,0.8,0.71,0.02,0.84,0.98
proftp.csv,0.0,0.25,0.34,0.18,0.02,0.41,0.74,0.57,0.0,0.11,0.5,0.01
tycho.csv,0.09,0.66,0.21,0.65,0.53,0.49,0.29,0.36,0.78,0.03,0.73,0.44
uclmda.csv,0.0,0.01,0.04,0.02,0.42,0.17,0.19,0.08,0.48,0.0,0.07,1.0
umber.csv,0.75,0.87,0.19,0.85,0.64,0.91,0.62,0.76,0.35,0.02,0.72,0.98
unicase.csv,0.67,0.96,0.21,0.72,0.47,0.9,0.65,0.67,0.53,0.02,0.8,0.04
vienna-add-in.csv,0.45,0.78,0.16,0.72,0.75,0.62,0.0,0.71,0.6,0.0,0.6,0.42
wpdev.csv,0.41,1.0,0.19,0.81,0.78,0.91,0.62,0.81,0.72,0.02,0.84,0.95
