,reactos-mirror.csv,critterding.csv,badtrinity-zero.csv,xbplayer.csv,monetdb.csv,alpine.csv,quarkplayer.csv,gusanos.csv,fmri-dmt.csv,bibletime.csv,elateportal.csv,sandiaportals.csv,ftm.csv
alpine.csv,0.4,0.44,0.55,0.41,0.48,0.8,0.62,0.42,0.37,0.36,0.39,0.0,0.41
badtrinity-zero.csv,0.98,0.0,0.43,0.0,0.36,0.43,0.94,0.0,0.71,0.37,0.36,0.39,0.45
bibletime.csv,0.39,0.43,0.39,0.48,0.33,0.4,0.43,0.48,0.31,0.4,0.3,0.38,0.64
critterding.csv,0.52,0.64,0.48,0.48,0.4,0.46,0.42,0.42,0.32,0.37,0.38,0.44,0.46
elateportal.csv,0.4,0.49,0.47,0.44,0.39,0.42,0.38,0.48,0.64,0.37,0.31,0.39,0.38
fmri-dmt.csv,0.61,0.7,0.62,0.44,0.98,0.75,0.58,0.62,0.79,0.52,0.34,0.47,0.86
ftm.csv,0.41,0.8,0.74,0.67,0.42,0.57,0.46,0.86,0.83,0.57,0.5,0.38,0.42
gusanos.csv,0.63,0.42,0.58,0.41,0.33,0.94,0.89,0.39,0.41,0.4,0.33,0.0,0.95
monetdb.csv,0.51,0.75,0.57,0.94,0.47,0.82,0.59,0.71,0.83,0.89,0.35,0.75,0.45
quarkplayer.csv,0.8,0.86,0.85,0.74,0.94,0.94,0.95,0.88,0.62,0.86,0.75,0.94,0.83
reactos-mirror.csv,0.58,0.56,0.51,0.51,0.38,0.57,0.49,0.46,0.31,0.45,0.3,0.39,0.96
sandiaportals.csv,0.62,0.58,0.59,0.48,0.44,0.64,0.45,0.5,0.47,0.36,0.0,0.44,0.44
xbplayer.csv,0.71,0.61,0.58,0.5,0.53,0.65,0.63,0.54,0.55,0.39,0.47,0.43,0.44
