,reactos-mirror.csv,critterding.csv,badtrinity-zero.csv,xbplayer.csv,monetdb.csv,alpine.csv,quarkplayer.csv,gusanos.csv,fmri-dmt.csv,bibletime.csv,elateportal.csv,sandiaportals.csv,ftm.csv
alpine.csv,0.56,0.0,0.5,0.0,0.56,0.69,0.4,0.0,0.46,0.75,0.79,0.0,0.42
badtrinity-zero.csv,0.15,0.0,0.67,0.0,0.57,0.17,0.11,0.0,0.54,0.74,0.69,0.49,0.62
bibletime.csv,0.64,0.48,0.61,0.52,0.62,0.7,0.68,0.4,0.59,0.7,0.67,0.68,0.32
critterding.csv,0.61,0.64,0.36,0.56,0.27,0.36,0.24,0.59,0.36,0.0,0.46,0.64,0.53
elateportal.csv,0.49,0.47,0.59,0.69,0.74,0.69,0.46,0.65,0.2,0.63,0.96,0.38,0.46
fmri-dmt.csv,0.55,0.49,0.46,0.27,0.29,0.34,0.62,0.44,0.95,0.38,0.48,0.54,0.35
ftm.csv,0.6,0.21,0.26,0.38,0.69,0.52,0.4,0.09,0.38,0.37,0.06,0.55,0.7
gusanos.csv,0.31,0.5,0.45,0.72,0.66,0.29,0.11,0.83,0.62,0.58,0.63,0.0,0.16
monetdb.csv,0.51,0.39,0.42,0.3,0.65,0.61,0.39,0.44,0.2,0.15,0.76,0.35,0.56
quarkplayer.csv,0.44,0.15,0.45,0.33,0.02,0.1,0.65,0.09,0.52,0.33,0.0,0.22,0.04
reactos-mirror.csv,0.64,0.66,0.58,0.73,0.71,0.61,0.62,0.55,0.65,0.73,0.83,0.0,0.16
sandiaportals.csv,0.58,0.61,0.53,0.7,0.69,0.59,0.5,0.56,0.51,0.76,0.0,0.8,0.67
xbplayer.csv,0.31,0.5,0.43,0.74,0.59,0.54,0.21,0.55,0.37,0.55,0.38,0.54,0.48
