,lazarus-ccr.csv,ikvm.csv,ontomorphtab.csv,xuggle.csv,micomt.csv,les-indemodables.csv,tradelink.csv,elateportal.csv,metacosm.csv
elateportal.csv,0.68,0.47,0.38,0.49,0.92,0.22,0.56,0.0,0.06
ikvm.csv,0.86,0.2,0.33,0.79,0.25,0.6,0.83,0.33,0.48
lazarus-ccr.csv,0.21,0.5,0.43,0.91,0.31,1.0,0.91,0.33,0.42
les-indemodables.csv,0.82,0.4,0.38,0.21,0.31,0.28,0.42,0.33,0.58
metacosm.csv,0.75,0.2,0.38,0.56,0.15,0.4,0.42,0.17,0.23
micomt.csv,0.82,0.73,0.9,0.83,0.2,0.66,0.83,0.83,0.97
ontomorphtab.csv,0.46,1.0,0.24,0.69,0.8,0.54,0.42,0.33,0.55
tradelink.csv,0.14,0.13,0.48,0.24,0.0,0.52,0.34,0.0,0.58
xuggle.csv,0.5,0.4,0.24,0.22,0.17,0.29,0.56,0.17,0.52
