,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,jruby.csv,oorexx.csv,fulguro.csv
ctrlr.csv,0.08,0.0,0.04,0.02,0.1,0.0,0.86,0.0,0.13,0.01,0.0,0.18
dvt.csv,0.19,0.21,0.07,0.93,0.1,0.0,0.19,0.17,0.12,0.32,0.03,0.27
flylinkdc.csv,0.95,0.18,0.03,0.31,0.38,0.38,0.33,0.33,0.22,0.2,0.28,0.55
fulguro.csv,0.14,0.05,0.53,0.14,0.14,0.19,0.29,0.28,0.01,0.04,0.06,1.0
fw4spl.csv,0.08,0.15,0.33,0.19,0.29,0.88,0.9,0.22,0.36,0.07,0.14,0.09
ipfire-wall.csv,0.11,0.67,0.42,0.26,0.05,0.27,0.19,1.0,0.01,0.25,0.19,0.36
jruby.csv,0.46,1.0,0.92,0.33,0.52,0.56,0.43,0.28,0.91,0.99,0.17,0.09
ldview.csv,0.3,0.45,0.39,0.12,0.95,0.1,0.14,0.28,0.02,0.16,0.39,0.36
nuttx.csv,0.89,0.76,1.0,0.64,0.48,0.96,0.33,0.78,0.99,0.93,0.78,0.55
oorexx.csv,0.59,0.24,0.36,0.48,0.62,0.71,0.52,0.5,0.33,0.46,0.94,0.55
uclmda.csv,0.32,0.06,0.31,0.0,0.57,0.15,0.38,0.33,1.0,0.04,0.03,0.18
vdsf.csv,0.92,0.88,0.28,0.76,0.9,0.42,0.95,0.89,0.86,0.83,0.86,1.0
