aggregate_cyclomatic,aggregate_cyclomaticDensity,aggregate_halstead_bugs,aggregate_halstead_difficulty,aggregate_halstead_effort,aggregate_halstead_length,aggregate_halstead_operands_distinct,aggregate_halstead_operands_total,aggregate_halstead_operators_distinct,aggregate_halstead_operators_total,aggregate_halstead_time,aggregate_halstead_vocabulary,aggregate_halstead_volume,aggregate_line,aggregate_params,aggregate_sloc_logical,aggregate_sloc_physical,avg_function_cyclomatic,avg_function_cyclomaticDensity,avg_function_halstead_bugs,avg_function_halstead_difficulty,avg_function_halstead_effort,avg_function_halstead_length,avg_function_halstead_operands_distinct,avg_function_halstead_operands_total,avg_function_halstead_operators_distinct,avg_function_halstead_operators_total,avg_function_halstead_time,avg_function_halstead_vocabulary,avg_function_halstead_volume,avg_function_line,avg_function_params,avg_function_sloc_logical,avg_function_sloc_physical,file_count_dependencies,file_cyclomatic,file_effort,file_loc,file_maintainability,file_params,total_function_cyclomatic,total_function_cyclomaticDensity,total_function_halstead_bugs,total_function_halstead_difficulty,total_function_halstead_effort,total_function_halstead_length,total_function_halstead_operands_distinct,total_function_halstead_operands_total,total_function_halstead_operators_distinct,total_function_halstead_operators_total,total_function_halstead_time,total_function_halstead_vocabulary,total_function_halstead_volume,total_function_line,total_function_params,total_function_sloc_logical,total_function_sloc_physical,E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017,E018,E019,E020,E021,E022,E023,E024,E025,E026,E027,E028,E029,E030,E031,E032,E033,E034,E035,E036,E039,E040,E041,E042,E043,E045,E046,E048,E049,E050,E052,E053,E054,E055,E056,E057,E058,E059,E060,E061,E062,E063,E064,E065,E066,W001,W002,W003,W004,W005,W006,W007,W008,W009,W010,W014,W016,W017,W018,W019,W020,W021,W022,W024,W025,W026,W027,W028,W030,W031,W032,W033,W034,W035,W036,W037,W038,W040,W042,W043,W044,W045,W046,W047,W048,W049,W050,W051,W052,W053,W054,W055,W056,W057,W058,W059,W060,W061,W062,W063,W064,W065,W066,W067,W068,W069,W070,W071,W072,W073,W074,W075,W076,W077,W078,W079,W080,W082,W083,W084,W085,W086,W087,W088,W089,W090,W093,W094,W095,W096,W097,W098,W101,W103,W104,W106,W107,W108,W109,W110,W112,W113,W114,W115,W116,W117,W118,W119,W120,W121,W122,W123,W124,W125,W126,W127,W128,W129,W130,W131,W132,W133,W134,W135,W136,W137,W138,W139,W140,W141,W142,W143,W144,W145,W146,W147,W148,BUGS
10,23.809523809523807,0.6623310540893951,28.16071428571429,55955.14673030232,319,56,166,19,153,3108.619262794573,75,1986.9931622681854,5,4,42,55,3.25,63.1993006993007,0.13323979517989698,10.145,9023.482253530316,76.25,17.25,39.75,8.0,36.5,501.3045696405732,25.25,399.7193855396946,25.5,1.0,9.75,14.75,1,3.25,9023.482253530316,9.75,102.68923658953327,1.0,13,252.7972027972028,0.532959180719591,40.58,36093.92901412127,305,69,159,32,146,2005.2182785622929,101,1598.8775421587784,102,4,39,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,31.896551724137932,2.018308147335794,50.70588235294117,307020.28641237435,841,119,431,28,410,17056.682578465243,147,6054.924442007383,5,6,116,134,6.142857142857142,51.411564625850346,0.212917498847508,14.378617683955142,14337.42059252496,115.85714285714286,24.0,59.42857142857143,11.142857142857142,56.42857142857143,796.5233662513866,35.142857142857146,638.7524965425263,66.85714285714286,0.8571428571428571,15.714285714285715,23.857142857142854,3,6.142857142857142,14337.42059252496,15.714285714285715,93.22689727395456,0.8571428571428571,43,359.88095238095235,1.4904224919325582,100.650323787686,100361.94414767473,811,168,416,78,395,5575.6635637597055,246,4471.267475797683,468,6,110,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3.448275862068965,0.640519632456791,12.92727272727273,24840.515927824308,324,55,237,6,87,1380.0286626569061,61,1921.5588973703755,3,0,29,96,1.0,3.7037037037037033,0.5937944204563851,4.5098039215686265,8033.689217939326,311.0,51.0,230.0,2.0,81.0,446.3160676632959,53.0,1781.383261369155,5.0,0.0,27.0,94.0,1,1.0,8033.689217939326,27.0,86.85685774333342,0.0,1,3.7037037037037033,0.5937944204563851,4.5098039215686265,8033.689217939326,311,51,230,2,81,446.3160676632959,53,1781.383261369155,5,0,27,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,18.857142857142858,3.024048806476978,44.78571428571429,406302.55749879975,1162,196,627,28,535,22572.364305488878,224,9072.146419430936,5,30,175,254,2.6,51.7364731749347,0.0887939593362,6.9430918199063365,3298.0183072247514,52.6,15.1,28.55,7.4,24.05,183.22323929026402,22.5,266.38187800860254,119.05,1.5,7.85,25.8,13,2.6,3298.0183072247514,7.85,109.69422962751189,1.5,52,1034.729463498694,1.7758791867240071,138.86183639812668,65960.36614449503,1052,302,571,148,481,3664.4647858052795,450,5327.637560172051,2381,30,157,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1.2987012987012978,1.931846851088953,19.54471544715447,113272.19097604493,824,123,601,8,223,6292.899498669164,131,5795.540553266859,3,0,77,218,1.0,1.333333333333333,1.8767930879433739,9.983193277310923,56209.164415379724,811.0,119.0,594.0,4.0,217.0,3122.7313564099845,123.0,5630.379263830125,5.0,0.0,75.0,216.0,1,1.0,56209.164415379724,75.0,63.65271655128053,0.0,1,1.333333333333333,1.8767930879433739,9.983193277310923,56209.164415379724,811,119,594,4,217,3122.7313564099845,123,5630.379263830125,5,0,75,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,21.176470588235293,1.6325774092485243,31.675,155135.66831384102,686,120,362,21,324,8618.648239657834,141,4897.732227745572,5,10,85,136,3.125,50.10864135864136,0.14924369572946,7.583400974025973,5288.432109505745,82.0,22.25,43.375,7.875,38.625,293.80178386143024,30.125,447.73108718838193,57.875,1.25,10.0,34.5,4,3.125,5288.432109505745,10.0,104.11544394926416,1.25,25,400.86913086913086,1.1939495658356822,60.66720779220778,42307.45687604596,656,178,347,63,309,2350.414270891442,241,3581.8486975070555,463,10,80,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.8518518518518512,0.5853794835996801,18.179104477611943,31925.024374227345,277,67,174,14,103,1773.6124652348526,81,1756.138450799041,1,47,54,218,1.0,81.87376725838264,0.021595286034382,2.125631868131867,399.26490375622086,16.076923076923073,7.384615384615384,10.769230769230768,2.692307692307692,5.307692307692307,22.181383542012266,10.076923076923077,64.78585810314793,92.53846153846152,3.615384615384615,3.0769230769230766,16.076923076923073,3,1.0,399.26490375622086,3.0769230769230766,132.30781453825824,3.615384615384615,13,1064.3589743589744,0.280738718446968,27.63321428571428,5190.443748830872,209,96,140,35,69,288.35798604615934,131,842.2161553409228,1203,47,40,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,50.0,0.007486279792153,1.5,33.688259064691245,8,4,4,3,4,1.8715699480384032,7,22.458839376460837,1,0,2,518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,33.688259064691245,2.0,147.7423647920869,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,28.88888888888889,0.608131611308509,28.445454545454545,51895.740321390665,292,55,149,21,143,2883.096684521704,76,1824.394833925527,6,8,45,77,2.714285714285714,55.376878023936854,0.062618499871856,8.822438672438672,3355.751326074339,40.285714285714285,10.285714285714286,20.571428571428573,8.428571428571429,19.714285714285715,186.43062922635207,18.714285714285715,187.85549961557103,33.857142857142854,1.1428571428571421,6.0,17.428571428571427,0,2.714285714285714,3355.751326074339,6.0,113.97880106203884,1.1428571428571421,19,387.6381461675579,0.438329499102997,61.7570707070707,23490.259282520365,282,72,144,59,138,1305.014404584465,131,1314.9884973089975,237,8,42,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,20.0,0.03891930001346099,3.8461538461538463,449.06884630917216,28,13,20,5,8,24.94826923939845,18,116.75790004038473,1,6,5,320,1.0,50.0,0.020756589711823,2.8125,175.13372569351318,18.0,8.0,15.0,3.0,3.0,9.7296514274174,11.0,62.269769135471364,3.0,6.0,2.0,5.0,1,1.0,175.13372569351318,2.0,142.10483525998126,6.0,1,50.0,0.020756589711823,2.8125,175.13372569351318,18,8,15,3,3,9.7296514274174,11,62.269769135471364,3,6,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
