,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,primefaces.csv,web-cat.csv
cleartk.csv,0.73,0.52,0.49,0.86,0.48,0.53,0.42,0.33,0.51,0.56,0.7,0.64,0.34,0.44
encog-cs.csv,0.27,0.41,0.47,0.0,0.45,0.48,0.5,0.0,0.71,0.21,0.17,0.38,0.0,0.61
extprosys.csv,0.75,0.0,0.67,0.71,0.42,0.51,0.39,0.33,0.3,0.05,0.73,0.49,0.32,0.45
intact.csv,0.77,0.0,0.56,0.6,0.63,0.59,0.25,0.49,0.62,0.09,0.74,0.38,0.34,0.3
japano.csv,0.0,0.0,0.61,0.26,0.54,0.52,0.0,0.75,0.32,0.45,0.23,0.37,0.17,0.64
lockss.csv,0.9,0.44,0.5,0.13,0.36,0.2,0.42,0.43,0.15,0.64,0.68,0.34,0.18,0.19
officefloor.csv,0.79,0.26,0.34,0.63,0.29,0.44,0.04,0.45,0.57,0.27,0.65,0.06,0.21,0.47
opennms.csv,0.0,0.32,0.02,0.04,0.7,0.09,0.48,0.0,0.3,0.53,0.1,0.29,0.1,0.0
primefaces.csv,0.7,0.47,0.0,0.61,0.57,0.43,0.6,0.35,0.05,0.43,0.05,0.47,0.72,0.34
rohxel.csv,0.8,0.58,0.54,0.43,0.24,0.44,0.78,0.63,0.62,0.4,0.6,0.43,0.53,0.0
roolo.csv,0.0,0.56,0.53,0.54,0.49,0.5,0.24,0.41,0.47,0.48,0.42,0.71,0.43,0.56
sevenupdate.csv,0.17,0.8,0.0,0.0,0.3,0.0,0.0,0.0,0.27,0.51,0.0,0.0,0.0,0.0
web-cat.csv,0.59,0.44,0.27,0.43,0.45,0.55,0.31,0.32,0.27,0.51,0.58,0.48,0.52,0.8
