,triplea.csv,mclient-mume.csv,jython.csv,freelords.csv,jmonkeyengine.csv,aufs.csv,toped.csv,calcubetimer.csv,st-filteredstatistics.csv,aten.csv,papertoolkit.csv,primefaces.csv,chaosrts.csv,web-cat.csv,emono.csv
aufs.csv,0.31,0.58,0.37,0.67,0.16,0.57,0.73,0.29,0.32,0.37,0.11,0.65,0.65,0.46,0.26
calcubetimer.csv,0.61,0.06,0.23,0.29,0.43,0.48,0.49,0.92,0.22,0.37,0.09,0.29,0.41,0.42,0.58
chaosrts.csv,0.34,0.5,0.21,0.63,0.38,0.48,0.77,0.65,0.71,0.74,0.11,0.35,0.88,0.55,0.47
emono.csv,0.75,0.24,0.55,0.77,0.29,0.48,0.67,0.95,0.83,0.84,0.08,0.69,0.89,0.56,0.73
freelords.csv,0.74,0.76,0.21,0.75,0.42,0.55,0.9,0.73,0.79,0.84,0.12,0.66,0.92,0.58,0.69
jmonkeyengine.csv,0.27,0.75,0.34,0.38,0.53,0.0,0.87,0.03,0.22,0.91,0.21,0.51,0.25,0.52,0.72
jython.csv,0.68,0.43,0.59,0.71,0.36,0.25,0.52,0.55,0.66,0.36,0.0,0.41,0.86,0.17,0.65
mclient-mume.csv,0.29,0.88,0.17,0.24,0.44,0.1,0.82,0.22,0.6,0.81,0.15,0.39,0.56,0.4,0.33
papertoolkit.csv,0.39,0.12,0.51,0.23,0.22,0.24,0.64,0.35,0.13,0.34,0.38,0.28,0.18,0.14,0.48
primefaces.csv,0.65,0.69,0.23,0.64,0.43,0.48,0.92,0.78,0.73,0.99,0.1,0.76,0.91,0.58,0.79
st-filteredstatistics.csv,0.7,0.67,0.23,0.82,0.36,0.49,0.88,0.85,0.86,0.98,0.08,0.73,0.94,0.54,0.79
toped.csv,0.77,0.5,0.18,0.59,0.36,0.38,0.87,0.95,0.83,0.71,0.07,0.72,0.89,0.55,0.73
triplea.csv,0.78,0.7,0.64,0.74,0.42,0.5,0.72,0.85,0.86,0.67,0.1,0.67,0.88,0.59,0.66
web-cat.csv,0.73,0.64,0.51,0.62,0.42,0.27,0.89,0.89,0.59,0.9,0.13,0.44,0.91,0.74,0.77
