,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,iaml.csv,cubefs.csv,elynx.csv,xcmetadataservicestoolkit.csv,olex2.csv
crisscross.csv,0.94,1.0,0.67,0.82,1.0,0.6,0.54,0.1,1.0,0.8,1.0
cubefs.csv,0.23,1.0,1.0,0.67,0.33,0.71,0.67,0.71,0.0,0.6,1.0
iaml.csv,0.17,0.15,0.38,0.16,0.67,0.39,0.69,0.08,0.0,0.5,0.2
ivataopenportal.csv,0.81,1.0,1.0,0.93,1.0,0.72,0.81,0.99,0.0,0.88,1.0
mb-unit.csv,0.95,0.0,0.57,0.69,1.0,0.94,0.34,0.13,1.0,0.8,0.43
mvdsv.csv,0.03,0.23,0.0,0.07,1.0,0.01,0.06,0.06,0.0,0.18,0.08
nova.csv,0.56,0.85,0.76,0.48,0.0,0.34,0.57,0.6,1.0,0.38,0.73
olex2.csv,0.8,0.54,0.52,0.65,0.67,0.94,0.54,0.58,0.0,0.68,0.7
openwbem.csv,0.57,0.38,0.48,0.51,0.67,0.77,0.31,0.86,1.0,0.5,0.72
xcmetadataservicestoolkit.csv,0.37,0.77,0.57,0.49,1.0,0.71,0.86,0.21,1.0,0.82,0.75
