,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,iaml.csv,cubefs.csv,elynx.csv,xcmetadataservicestoolkit.csv,olex2.csv
crisscross.csv,0.5,0.42,0.51,0.46,0.38,0.5,0.46,0.83,0.36,0.36,0.34
cubefs.csv,0.87,0.42,0.45,0.52,0.37,0.49,0.48,0.49,0.54,0.43,0.34
iaml.csv,0.69,0.88,0.62,0.72,0.4,0.53,0.55,0.92,0.52,0.45,0.64
ivataopenportal.csv,0.46,0.42,0.47,0.4,0.34,0.52,0.42,0.41,0.4,0.33,0.34
mb-unit.csv,0.49,0.67,0.59,0.45,0.38,0.42,0.46,0.96,0.42,0.36,0.5
mvdsv.csv,0.94,0.69,0.0,0.98,0.88,0.5,0.95,0.86,0.75,0.86,0.83
nova.csv,0.63,0.6,0.62,0.54,0.55,0.65,0.58,0.46,0.43,0.92,0.44
olex2.csv,0.52,0.56,0.62,0.51,0.42,0.44,0.63,0.62,0.62,0.39,0.45
openwbem.csv,0.47,0.78,0.63,0.56,0.46,0.5,0.77,0.43,0.44,0.46,0.47
xcmetadataservicestoolkit.csv,0.57,0.43,0.78,0.61,0.65,0.46,0.48,0.95,0.34,0.39,0.42
