,kmatplot.csv,dynalloy.csv,applet2app.csv,cities3d.csv,genecys.csv,xemeiah.csv,ossbuild.csv,nabu-library.csv,modplug.csv,enzo.csv,xined.csv,nebuladevice.csv,autowikibrowser.csv,biodwh.csv,natpad.csv
applet2app.csv,0.36,0.23,0.0,0.45,0.33,0.31,0.61,0.7,0.21,0.8,0.3,0.46,0.46,0.55,0.34
autowikibrowser.csv,0.31,0.26,0.34,0.42,0.56,0.22,0.63,0.2,0.17,0.16,0.49,0.3,0.02,0.46,0.69
biodwh.csv,0.54,0.68,0.77,0.54,0.0,0.76,0.11,0.74,0.83,1.0,0.12,0.63,0.56,0.0,0.06
cities3d.csv,0.55,0.96,0.86,0.0,0.22,0.21,0.53,0.97,0.33,0.92,0.26,0.3,0.22,0.77,0.48
dynalloy.csv,0.42,0.0,0.33,0.55,0.33,0.5,0.35,0.42,0.62,0.36,0.53,0.45,0.74,0.28,0.55
enzo.csv,0.66,0.77,0.86,0.78,0.56,0.76,0.78,0.29,0.92,0.0,0.74,0.8,0.8,0.83,0.58
genecys.csv,0.98,0.85,0.94,1.0,0.0,0.68,0.97,0.91,0.79,0.48,0.95,0.85,0.85,0.97,0.94
kmatplot.csv,0.0,0.08,0.09,0.04,0.11,0.08,0.25,0.16,0.21,0.0,0.07,0.15,0.17,0.13,0.36
modplug.csv,0.52,0.58,0.55,0.49,0.56,0.46,0.83,0.19,0.0,0.4,0.6,0.58,0.46,0.58,0.72
nabu-library.csv,0.8,0.53,0.71,0.4,0.56,0.44,0.12,0.0,0.5,0.56,0.58,0.59,0.57,0.69,0.25
natpad.csv,0.39,0.74,0.47,0.19,0.78,0.42,0.48,0.81,0.54,0.8,0.51,0.32,0.37,0.63,0.0
nebuladevice.csv,0.03,0.11,0.09,0.04,0.0,0.05,0.1,0.05,0.0,0.04,0.05,0.0,0.04,0.03,0.03
ossbuild.csv,0.28,0.09,0.19,0.3,0.33,0.19,0.0,0.47,0.0,0.4,0.26,0.08,0.37,0.23,0.08
xemeiah.csv,0.24,0.49,0.27,0.17,0.44,0.03,0.28,0.11,0.62,0.2,0.26,0.31,0.11,0.42,0.22
xined.csv,0.06,0.26,0.55,0.08,0.11,0.01,0.02,0.69,0.0,0.0,0.0,0.04,0.04,0.25,0.05
