,kmatplot.csv,dynalloy.csv,applet2app.csv,cities3d.csv,genecys.csv,xemeiah.csv,ossbuild.csv,nabu-library.csv,modplug.csv,enzo.csv,xined.csv,nebuladevice.csv,autowikibrowser.csv,biodwh.csv,natpad.csv
applet2app.csv,0.62,0.37,0.95,0.62,0.53,0.37,0.66,0.3,0.4,0.74,0.6,0.67,0.73,0.83,0.51
autowikibrowser.csv,0.72,0.46,0.59,0.7,0.48,0.52,0.78,0.37,0.49,0.41,0.3,0.67,1.0,0.58,0.72
biodwh.csv,0.72,0.69,0.69,0.68,0.13,0.9,0.09,0.53,0.8,0.99,0.3,0.6,0.48,1.0,0.14
cities3d.csv,0.79,0.9,0.76,0.89,0.37,0.46,0.66,0.88,0.47,0.74,0.2,0.27,0.25,0.67,0.51
dynalloy.csv,0.62,0.98,0.54,0.95,0.58,0.55,0.75,0.28,0.64,0.29,0.6,0.2,0.61,0.25,0.72
enzo.csv,0.9,0.79,0.9,0.81,0.6,0.84,0.34,0.93,0.95,0.98,0.6,0.93,0.86,1.0,0.77
genecys.csv,0.9,0.92,0.97,1.0,1.0,0.81,0.84,0.65,0.78,0.87,1.0,0.8,0.91,1.0,1.0
kmatplot.csv,0.93,0.17,0.22,0.3,0.26,0.24,0.03,0.15,0.16,0.02,0.3,0.47,0.27,0.25,0.42
modplug.csv,0.76,0.69,0.72,0.86,0.84,0.64,0.72,0.69,1.0,0.57,0.9,0.87,0.77,0.92,0.98
nabu-library.csv,0.69,0.63,0.73,0.76,0.58,0.64,0.22,1.0,0.73,0.77,0.4,0.67,0.55,0.83,0.12
natpad.csv,0.72,0.67,0.58,0.62,0.66,0.73,0.69,0.46,0.58,0.51,0.6,0.33,0.41,0.67,0.93
nebuladevice.csv,0.17,0.1,0.1,0.08,0.03,0.01,0.03,0.05,0.16,0.12,0.0,1.0,0.09,0.17,0.26
ossbuild.csv,0.59,0.17,0.26,0.46,0.44,0.36,0.88,0.09,0.22,0.16,0.8,0.07,0.5,0.17,0.19
xemeiah.csv,0.72,0.37,0.45,0.65,0.53,0.97,0.09,0.24,0.44,0.41,0.4,0.47,0.36,0.58,0.56
xined.csv,0.28,0.23,0.47,0.35,0.1,0.03,0.0,0.3,0.09,0.04,1.0,0.0,0.18,0.25,0.26
