,rhex.csv,qgo.csv,dynalloy.csv,rezilla.csv,toped.csv,ossbuild.csv,jaolt.csv,truevision.csv,jcl.csv,wxstudio.csv,quark.csv,kmess.csv
dynalloy.csv,0.45,0.39,0.7,0.36,0.32,0.58,0.38,0.51,0.41,0.48,0.37,0.45
jaolt.csv,0.59,0.41,0.7,0.83,0.42,0.85,0.41,0.33,0.55,0.45,0.38,0.48
jcl.csv,0.94,0.75,0.8,0.75,0.86,0.0,0.86,0.97,0.93,0.0,0.5,0.91
kmess.csv,0.75,0.39,0.8,0.54,0.38,0.69,0.83,0.47,0.52,0.64,0.53,0.49
ossbuild.csv,0.94,0.71,0.74,0.77,0.5,0.96,0.62,0.92,0.74,0.97,0.55,0.66
qgo.csv,0.49,0.43,0.49,0.8,0.33,0.35,0.34,0.5,0.34,0.38,0.41,0.5
quark.csv,0.0,0.67,0.93,0.0,0.0,0.0,0.8,0.73,0.94,0.92,0.9,0.0
rezilla.csv,0.43,0.39,0.38,0.62,0.4,0.41,0.34,0.41,0.38,0.52,0.35,0.49
rhex.csv,0.91,0.37,0.61,0.0,0.44,0.5,0.62,0.55,0.49,0.92,0.42,0.68
toped.csv,0.44,0.38,0.39,0.37,0.33,0.42,0.38,0.41,0.38,0.5,0.53,0.41
truevision.csv,0.74,0.44,0.42,0.75,0.35,0.41,0.38,0.6,0.35,0.54,0.33,0.49
wxstudio.csv,0.72,0.83,0.48,0.5,0.85,0.58,0.66,0.55,0.86,0.57,0.56,0.74
