,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,natpad.csv
bacnet.csv,0.78,0.83,0.49,0.83,0.66,0.7,0.05,0.5,0.54,0.81,0.49
gamestone.csv,0.81,0.0,0.75,0.88,0.75,0.8,0.87,0.53,0.69,0.79,0.73
gbif-providertoolkit.csv,0.95,1.0,0.75,0.73,0.01,0.79,1.0,0.84,0.7,0.91,0.84
heekscad.csv,0.02,0.61,0.52,0.61,0.7,0.68,0.78,0.53,0.56,0.8,0.75
igarden.csv,0.74,0.88,0.84,0.0,0.93,0.94,0.95,0.88,0.92,0.9,0.86
levent.csv,0.55,0.72,0.54,0.71,0.62,0.04,0.67,0.63,0.91,0.75,0.51
lportal.csv,1.0,0.59,0.68,0.88,0.99,0.85,0.88,0.88,0.16,0.8,0.95
natpad.csv,0.68,0.85,0.61,0.64,0.72,0.56,0.84,0.65,0.71,0.77,0.04
openmsx.csv,0.68,0.96,0.72,0.89,0.71,0.78,0.76,0.74,0.75,0.04,0.91
owlapi.csv,0.73,0.77,0.74,0.77,0.82,0.83,0.83,0.0,0.69,0.71,0.66
xcsoar.csv,0.4,0.67,0.06,0.62,0.57,0.59,0.63,0.49,0.57,0.66,0.58
