,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,natpad.csv
bacnet.csv,0.74,0.37,0.35,0.47,0.6,0.35,0.0,0.38,0.45,0.65,0.28
gamestone.csv,0.15,0.0,0.18,0.15,0.24,0.04,0.08,0.21,0.24,0.17,0.22
gbif-providertoolkit.csv,0.0,0.08,0.0,0.17,0.01,0.13,0.0,0.07,0.21,0.05,0.03
heekscad.csv,0.02,0.35,0.45,0.58,0.49,0.65,0.74,0.42,0.49,0.69,0.73
igarden.csv,0.06,0.04,0.0,0.0,0.01,0.09,0.09,0.04,0.19,0.07,0.05
levent.csv,0.49,0.52,0.51,0.67,0.55,0.04,0.65,0.49,0.35,0.54,0.5
lportal.csv,0.68,0.46,0.49,0.51,0.49,0.74,0.76,0.78,0.0,0.71,0.72
natpad.csv,0.64,0.4,0.44,0.57,0.58,0.3,0.65,0.56,0.67,0.6,0.03
openmsx.csv,0.64,0.96,0.48,0.89,0.51,0.48,0.32,0.62,0.68,0.02,0.64
owlapi.csv,0.26,0.19,0.21,0.19,0.24,0.3,0.24,0.0,0.08,0.26,0.44
xcsoar.csv,0.23,0.25,0.04,0.39,0.37,0.3,0.45,0.29,0.43,0.4,0.52
