,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,natpad.csv
bacnet.csv,3.0,15.0,14.0,9.0,2.0,1.0,0.0,5.0,202.0,1.0,0.0
gamestone.csv,2.0,0.0,6.0,1.0,10.0,0.0,0.0,8.0,425.0,2.0,1.0
gbif-providertoolkit.csv,0.0,59.0,0.0,3.0,0.0,0.0,111.0,6.0,54.0,0.0,0.0
heekscad.csv,0.0,10.0,0.0,2.0,20.0,0.0,1.0,6.0,142.0,1.0,0.0
igarden.csv,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,6.0,0.0,2.0
levent.csv,0.0,18.0,1.0,3.0,23.0,0.0,0.0,15.0,44.0,5.0,0.0
lportal.csv,6.0,20.0,0.0,4.0,10.0,0.0,1.0,44.0,0.0,2.0,1.0
natpad.csv,4.0,19.0,0.0,5.0,4.0,0.0,1.0,32.0,181.0,1.0,0.0
openmsx.csv,8.0,13.0,0.0,4.0,3.0,0.0,1.0,41.0,167.0,0.0,1.0
owlapi.csv,3.0,5.0,0.0,3.0,3.0,0.0,1.0,0.0,55.0,1.0,1.0
xcsoar.csv,0.0,9.0,0.0,3.0,20.0,1.0,1.0,9.0,322.0,2.0,0.0
