,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,natpad.csv
bacnet.csv,0.56,0.28,0.66,0.35,0.61,0.42,0.96,0.67,0.66,0.47,0.62
gamestone.csv,0.25,1.0,0.31,0.16,0.33,0.24,0.16,0.56,0.39,0.27,0.34
gbif-providertoolkit.csv,0.06,0.0,0.29,0.33,1.0,0.26,0.0,0.19,0.37,0.11,0.19
heekscad.csv,0.99,0.52,0.69,0.68,0.5,0.65,0.55,0.66,0.67,0.51,0.59
igarden.csv,0.3,0.15,0.19,1.0,0.09,0.07,0.06,0.15,0.12,0.13,0.17
levent.csv,0.69,0.5,0.72,0.59,0.64,0.99,0.66,0.58,0.19,0.48,0.76
lportal.csv,0.28,0.6,0.53,0.32,0.16,0.46,0.44,0.45,0.87,0.51,0.35
natpad.csv,0.62,0.28,0.57,0.63,0.53,0.56,0.44,0.61,0.61,0.48,0.98
openmsx.csv,0.63,0.17,0.47,0.38,0.5,0.41,0.36,0.54,0.56,0.97,0.35
owlapi.csv,0.35,0.29,0.33,0.3,0.25,0.25,0.25,1.0,0.36,0.38,0.52
xcsoar.csv,0.7,0.42,0.96,0.54,0.58,0.52,0.55,0.62,0.62,0.5,0.67
