,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,natpad.csv
bacnet.csv,0.78,0.25,0.66,0.32,0.71,0.39,0.95,0.68,0.7,0.51,0.6
gamestone.csv,0.21,1.0,0.27,0.13,0.29,0.2,0.13,0.52,0.35,0.23,0.3
gbif-providertoolkit.csv,0.05,0.0,0.25,0.29,1.0,0.22,0.0,0.16,0.33,0.09,0.16
heekscad.csv,0.99,0.5,0.73,0.81,0.5,0.82,0.76,0.68,0.72,0.6,0.84
igarden.csv,0.26,0.12,0.16,1.0,0.07,0.06,0.05,0.12,0.1,0.11,0.14
levent.csv,0.75,0.5,0.82,0.74,0.71,1.0,0.84,0.6,0.16,0.48,0.88
lportal.csv,0.27,0.62,0.54,0.29,0.14,0.57,0.55,0.6,0.84,0.63,0.37
natpad.csv,0.75,0.25,0.57,0.71,0.57,0.53,0.47,0.68,0.77,0.51,0.98
openmsx.csv,0.77,1.0,0.46,0.97,0.5,0.39,0.32,0.6,0.69,0.97,0.35
owlapi.csv,0.31,0.25,0.29,0.26,0.21,0.22,0.21,1.0,0.31,0.34,0.51
xcsoar.csv,0.68,0.38,0.96,0.52,0.57,0.49,0.55,0.6,0.63,0.48,0.74
