,wgs-assembler.csv,nh3d.csv,jvcl.csv,blogentis.csv,m-m-m.csv,htmlunit.csv,emulemorph.csv
blogentis.csv,0.37,0.01,0.16,0.53,0.78,0.37,0.03
emulemorph.csv,0.38,0.02,0.15,0.44,0.0,0.86,0.11
htmlunit.csv,0.36,0.01,0.17,0.24,1.0,0.5,0.07
jvcl.csv,0.5,0.67,0.19,0.33,1.0,0.6,0.09
m-m-m.csv,0.41,0.02,0.07,0.24,0.95,0.27,0.04
nh3d.csv,0.42,0.67,0.0,0.26,0.84,0.51,0.0
wgs-assembler.csv,0.47,0.01,0.1,0.27,0.94,0.4,0.06
