,ktc.csv,selenium.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,pcgen.csv,autoopencas.csv,omseek.csv
autoopencas.csv,0.83,0.92,1.0,0.92,1.0,0.91,0.75,0.75,1.0,0.87,0.89,0.02,0.92
bacula.csv,0.57,0.61,0.83,0.58,0.49,0.54,0.63,0.76,0.04,0.59,0.56,0.77,0.51
elmo.csv,0.98,0.92,0.0,1.0,0.95,0.96,0.96,0.98,0.96,0.96,0.93,0.91,1.0
jajuk.csv,0.41,0.61,0.81,0.46,0.04,0.44,0.61,0.68,0.71,0.43,0.44,0.97,0.51
ktc.csv,0.04,0.76,0.82,0.52,0.61,0.68,0.65,0.77,0.71,0.62,0.54,0.9,0.69
neoengine.csv,0.49,0.69,0.69,0.04,0.55,0.61,0.81,0.85,0.7,0.59,0.52,0.85,0.63
omseek.csv,0.58,0.64,1.0,0.89,0.77,0.83,0.84,0.76,0.99,0.9,0.78,1.02,0.06
pcgen.csv,0.95,0.87,0.81,0.75,0.72,0.74,0.92,0.75,0.64,0.88,0.05,0.9,0.94
rosegarden.csv,0.57,0.82,1.01,0.66,0.78,0.66,0.7,0.71,0.67,0.04,0.71,0.57,0.65
selenium.csv,0.41,0.03,0.47,0.45,0.59,0.56,0.65,0.64,0.69,0.54,0.49,0.82,0.46
vapor.csv,0.66,0.69,1.0,0.73,0.84,0.87,0.12,0.96,0.79,0.76,0.98,0.87,0.83
zorannt.csv,0.8,0.71,0.71,0.72,0.68,0.17,0.78,0.7,0.89,0.77,0.69,0.73,0.82
zscreen.csv,0.51,0.65,0.63,0.63,0.69,0.72,0.67,0.0,0.79,0.65,0.82,0.87,0.67
