,ktc.csv,selenium.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,pcgen.csv,autoopencas.csv,omseek.csv
autoopencas.csv,0.32,0.33,0.0,0.28,0.19,0.07,0.33,0.62,0.0,0.24,0.27,0.96,0.05
bacula.csv,0.53,0.61,0.06,0.47,0.64,0.21,0.3,0.65,0.98,0.35,0.52,0.23,0.18
elmo.csv,0.2,0.83,1.0,0.0,0.38,0.14,0.17,1.0,0.57,0.14,0.36,0.4,0.0
jajuk.csv,0.61,0.61,0.06,0.55,1.0,0.29,0.31,0.88,0.7,0.47,0.59,0.11,0.17
ktc.csv,1.0,0.49,0.08,0.71,0.54,0.23,0.36,0.79,0.76,0.63,0.51,0.15,0.19
neoengine.csv,0.55,0.57,0.1,1.0,0.68,0.24,0.21,0.53,0.69,0.38,0.53,0.18,0.13
omseek.csv,0.51,0.67,0.0,0.71,0.65,0.5,0.23,0.71,0.33,0.42,0.54,0.0,1.0
pcgen.csv,0.43,0.8,0.09,0.6,0.9,0.5,0.25,0.8,0.72,0.43,1.0,0.22,0.13
rosegarden.csv,0.81,0.65,0.0,0.62,0.85,0.33,0.27,0.63,0.71,1.0,0.44,0.35,0.18
selenium.csv,0.69,1.0,0.16,0.56,0.77,0.2,0.29,0.71,0.68,0.39,0.62,0.22,0.21
vapor.csv,0.58,0.67,0.0,0.65,0.51,0.19,1.0,1.0,0.7,0.49,0.13,0.32,0.17
zorannt.csv,0.35,0.52,0.07,0.37,0.5,1.0,0.23,0.64,0.66,0.29,0.47,0.25,0.09
zscreen.csv,0.54,0.58,0.11,0.45,0.54,0.15,0.31,1.0,0.68,0.34,0.43,0.29,0.12
