,ktc.csv,selenium.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,pcgen.csv,autoopencas.csv,omseek.csv
autoopencas.csv,0.28,0.12,0.0,0.09,0.13,0.13,0.28,0.33,0.0,0.15,0.29,1.0,0.12
bacula.csv,0.54,0.52,0.2,0.57,0.62,0.7,0.56,0.28,0.99,0.64,0.56,0.48,0.64
elmo.csv,0.02,0.08,1.0,0.0,0.05,0.04,0.04,0.02,0.04,0.05,0.07,0.09,0.0
jajuk.csv,0.72,0.52,0.6,0.69,0.96,0.65,0.68,0.33,0.79,0.7,0.73,0.18,0.79
ktc.csv,0.96,0.42,0.2,0.5,0.57,0.35,0.4,0.24,0.32,0.39,0.69,0.16,0.33
neoengine.csv,0.69,0.38,1.0,0.96,0.49,0.43,0.48,0.39,0.71,0.5,0.65,0.25,0.64
omseek.csv,0.52,0.4,0.0,0.11,0.24,0.17,0.2,0.26,0.01,0.11,0.24,0.0,0.94
pcgen.csv,0.05,0.13,0.2,0.26,0.28,0.26,0.08,0.26,0.47,0.13,0.95,0.11,0.06
rosegarden.csv,0.43,0.18,0.0,0.36,0.22,0.35,0.52,0.48,0.44,0.96,0.36,0.59,0.39
selenium.csv,0.64,0.97,0.6,0.71,0.42,0.78,0.56,0.43,0.52,0.65,0.58,0.5,0.67
vapor.csv,0.37,0.33,0.0,0.28,0.17,0.13,0.88,0.04,0.23,0.24,0.04,0.14,0.18
zorannt.csv,0.45,0.53,0.4,0.54,0.54,0.83,0.52,0.63,0.84,0.29,0.38,0.41,0.48
zscreen.csv,0.85,0.77,1.0,0.86,0.86,0.61,0.84,1.0,0.83,0.81,0.89,0.98,0.67
