,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,mpqc.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,zildo.csv,fluidium.csv,pamguard.csv,customsagetv.csv
checker-framework.csv,0.06,0.22,0.05,0.0,0.08,0.2,0.28,0.48,1.0,0.18,0.15,0.35,0.39,0.0,0.43,0.04
customsagetv.csv,0.0,0.07,0.0,0.27,0.0,0.0,0.0,0.14,0.14,0.0,0.0,0.0,0.24,0.0,0.1,0.98
fluidium.csv,0.27,0.33,0.25,0.08,0.24,0.38,0.23,0.29,0.06,0.23,0.46,0.55,0.12,0.98,0.22,0.44
guineu.csv,0.92,0.2,0.78,0.32,0.0,0.08,0.05,0.32,0.28,0.09,0.07,0.13,0.32,0.0,0.06,0.15
inkscape.csv,0.06,0.23,0.13,0.11,0.28,0.14,0.96,0.08,0.11,0.36,0.28,0.6,0.15,0.25,0.03,0.0
mpqc.csv,0.32,0.42,0.55,0.0,0.15,1.0,0.2,0.46,0.18,0.32,0.77,0.59,0.38,0.48,0.44,0.71
nsis.csv,0.43,0.54,0.88,0.25,0.3,0.27,0.71,0.63,0.32,0.38,1.0,0.86,0.55,0.61,0.74,0.67
octave.csv,0.32,0.4,0.45,0.41,0.95,0.07,0.33,0.47,0.22,0.22,0.43,0.0,0.36,0.24,0.52,0.5
owfs.csv,0.25,0.17,0.29,0.95,0.24,0.05,0.12,0.33,0.3,0.2,0.31,0.17,0.44,0.27,0.28,0.14
owlib.csv,0.57,1.0,0.88,0.3,0.29,0.25,0.58,0.54,0.33,0.37,0.73,0.64,0.68,0.6,0.56,0.67
pamguard.csv,0.37,0.5,0.87,0.29,0.32,0.28,0.67,0.37,0.33,0.36,0.55,0.71,0.69,0.54,0.97,0.61
prelude.csv,0.48,0.54,1.0,0.31,0.32,0.23,0.73,0.6,0.34,0.35,0.91,0.83,0.66,0.49,0.78,0.69
robocode.csv,0.58,0.26,0.53,0.35,0.3,0.0,0.23,0.98,0.27,0.13,0.24,0.18,0.59,0.34,0.59,0.54
uwom-server.csv,0.38,0.18,0.0,0.13,0.15,0.19,0.37,0.63,0.32,0.96,0.15,0.05,0.43,0.08,0.44,0.62
zengine.csv,0.43,0.56,0.85,0.28,0.29,0.3,0.74,0.67,0.5,0.42,0.77,1.0,0.68,0.5,0.72,0.6
zildo.csv,0.38,0.42,0.82,0.34,0.21,0.0,0.6,0.41,0.5,0.43,0.34,0.41,0.99,0.45,0.61,0.22
