,id,count_recall,count_precision,count_pf,cdom_score,bellwether
48,3,2,0,3,4,jaql.csv
46,4,3,3,1,3,fontforge.csv
53,5,8,12,13,19,modellus.csv
22,6,5,8,13,17,myfaces.csv
17,7,2,0,1,1,openmeetings.csv
28,8,3,2,3,4,bdbbasic.csv
15,9,4,11,15,19,wow-qrsk.csv
25,10,4,6,8,17,miranda-icq.csv
16,11,6,7,7,10,sigil.csv
49,12,3,3,12,13,exordium.csv
52,13,3,2,6,7,migen.csv
54,14,1,1,5,7,bibedt.csv
47,15,1,2,4,5,qcad2.csv
19,16,3,2,3,4,qtractor.csv
24,17,1,4,18,19,jcae.csv
13,18,1,11,18,17,genoviz.csv
26,19,4,7,10,14,oscarmcmaster.csv
12,20,0,0,0,0,dataobjectsdotnet.csv
29,21,3,3,10,8,proftp.csv
55,22,0,3,4,3,omseek.csv
45,24,4,1,3,7,reaper3d.csv
56,25,2,2,2,1,jsidplay2.csv
27,26,1,2,4,4,scenemonitor.csv
14,27,1,2,7,6,servicestack.csv
23,28,2,3,5,10,synecdoche.csv
18,29,5,4,0,7,ofbiz.csv
36,30,6,4,8,15,rcp-company-uibindings.csv
4,32,0,0,2,1,bloodycore.csv
11,33,1,4,14,13,m-a-d-n-e-s-s.csv
10,34,2,6,14,14,gtad.csv
5,35,7,6,5,10,yaprm.csv
37,37,6,5,11,15,apertium.csv
32,38,1,9,16,15,mvdsv.csv
38,39,2,4,7,11,chaosrts.csv
50,40,2,3,5,7,javagroups.csv
43,41,1,2,9,9,jam-daq.csv
20,42,1,6,17,18,nassp.csv
31,43,3,8,13,15,officefloor.csv
30,44,2,5,16,19,continuum-ide.csv
21,45,3,4,5,11,jitterbit.csv
42,46,9,6,8,18,owlib.csv
51,47,1,3,7,7,alembik.csv
44,48,0,2,5,4,snakeyaml.csv
2,50,3,4,8,12,gwanted.csv
7,51,3,4,15,16,taokgame.csv
39,52,2,2,4,5,aztec.csv
35,53,2,2,1,3,fityk.csv
34,54,1,3,9,10,stuproa-cims.csv
40,55,5,7,8,13,open-beos.csv
6,56,1,2,5,4,tolven.csv
3,57,3,5,9,9,kftpgrabber.csv
8,58,1,2,5,4,e-bio-flow.csv
1,59,4,4,5,11,delphilhlplib.csv
9,60,4,7,18,19,biodwh.csv
0,61,5,2,4,6,voms.csv
33,62,2,5,5,7,selenium.csv
41,63,1,5,14,13,quark.csv
