,xharbour.csv,graphmak.csv,megasquirtavr.csv,pdfedit.csv,atomsite.csv,hazelcast.csv,betoffice.csv,bnetd.csv,twostep.csv,stajistics.csv
atomsite.csv,0.36,0.92,1.0,0.47,0.95,0.44,0.69,0.26,0.73,0.77
betoffice.csv,0.14,0.44,0.2,0.7,0.59,0.35,0.98,0.46,0.46,0.33
bnetd.csv,0.89,0.8,0.8,0.81,0.82,0.58,0.69,1.0,0.77,0.6
graphmak.csv,0.14,1.0,0.1,0.12,0.14,0.22,0.04,0.15,0.19,0.33
hazelcast.csv,0.71,1.0,0.6,0.86,0.91,0.98,0.76,0.77,0.96,0.93
megasquirtavr.csv,1.0,0.96,0.7,1.0,1.0,0.98,1.0,1.0,1.0,1.0
pdfedit.csv,0.39,0.4,0.25,0.98,0.32,0.45,0.22,0.49,0.31,0.57
stajistics.csv,0.23,0.64,0.25,0.33,0.68,0.42,0.09,0.59,0.77,0.83
twostep.csv,0.33,0.48,0.45,0.3,0.68,0.42,0.4,0.54,0.96,0.47
xharbour.csv,1.0,0.8,0.8,0.72,0.45,0.84,0.76,0.79,0.85,0.63
