,xharbour.csv,graphmak.csv,megasquirtavr.csv,pdfedit.csv,atomsite.csv,hazelcast.csv,betoffice.csv,bnetd.csv,twostep.csv,stajistics.csv
atomsite.csv,1.0,0.35,0.22,0.67,1.0,0.75,0.5,0.53,0.33,0.32
betoffice.csv,0.6,0.41,0.8,0.49,0.5,0.95,0.98,0.49,0.35,0.34
bnetd.csv,0.82,0.37,0.31,0.58,0.44,0.97,0.48,0.98,0.48,0.41
graphmak.csv,0.86,0.96,0.67,0.62,0.25,1.0,0.4,0.6,0.42,0.53
hazelcast.csv,0.89,0.38,0.38,0.5,0.39,1.0,0.49,0.61,0.41,0.39
megasquirtavr.csv,0.82,0.34,1.0,0.5,0.32,0.84,0.5,0.53,0.37,0.3
pdfedit.csv,0.85,0.37,0.19,1.0,0.33,0.89,0.48,0.53,0.24,0.33
stajistics.csv,0.91,0.43,0.15,0.61,0.3,1.0,0.36,0.64,0.49,1.0
twostep.csv,0.91,0.38,0.33,0.5,0.39,1.0,0.46,0.7,1.0,0.48
xharbour.csv,0.99,0.32,0.33,0.47,0.29,0.84,0.52,0.5,0.34,0.27
