,xharbour.csv,graphmak.csv,megasquirtavr.csv,pdfedit.csv,atomsite.csv,hazelcast.csv,betoffice.csv,bnetd.csv,twostep.csv,stajistics.csv
atomsite.csv,0.53,0.51,0.35,0.55,0.98,0.55,0.58,0.34,0.46,0.45
betoffice.csv,0.22,0.42,0.32,0.58,0.54,0.51,0.98,0.47,0.4,0.34
bnetd.csv,0.85,0.51,0.45,0.68,0.57,0.73,0.56,0.99,0.59,0.49
graphmak.csv,0.24,0.98,0.17,0.2,0.18,0.36,0.08,0.24,0.26,0.41
hazelcast.csv,0.79,0.56,0.46,0.63,0.55,0.99,0.6,0.68,0.57,0.55
megasquirtavr.csv,0.9,0.51,0.82,0.67,0.49,0.91,0.67,0.69,0.54,0.47
pdfedit.csv,0.54,0.38,0.21,0.99,0.33,0.6,0.3,0.51,0.27,0.41
stajistics.csv,0.37,0.52,0.19,0.42,0.42,0.59,0.14,0.61,0.6,0.91
twostep.csv,0.49,0.42,0.38,0.38,0.5,0.59,0.43,0.61,0.98,0.47
xharbour.csv,0.99,0.46,0.46,0.57,0.35,0.84,0.61,0.61,0.48,0.38
