,xharbour.csv,graphmak.csv,megasquirtavr.csv,pdfedit.csv,atomsite.csv,hazelcast.csv,betoffice.csv,bnetd.csv,twostep.csv,stajistics.csv
atomsite.csv,0.41,0.32,0.0,0.51,0.96,0.35,0.55,0.3,0.43,0.57
betoffice.csv,0.17,0.47,0.24,0.54,0.61,0.4,0.98,0.46,0.47,0.37
bnetd.csv,0.37,0.57,0.72,0.68,0.73,0.62,0.5,0.99,0.7,0.6
graphmak.csv,0.17,1.0,0.12,0.15,0.17,0.26,0.05,0.18,0.22,0.38
hazelcast.csv,0.68,0.43,0.62,0.42,0.67,0.98,0.51,0.68,0.55,0.71
megasquirtavr.csv,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pdfedit.csv,0.43,0.43,0.29,0.98,0.36,0.48,0.26,0.49,0.33,0.55
stajistics.csv,0.27,0.62,0.28,0.37,0.5,0.48,0.11,0.6,0.71,0.86
twostep.csv,0.38,0.5,0.49,0.34,0.63,0.48,0.42,0.57,0.97,0.51
xharbour.csv,0.99,0.31,0.73,0.46,0.45,0.34,0.57,0.35,0.17,0.49
