,nova.csv,crisscross.csv,mvdsv.csv,proftp.csv,libmesh.csv,l2j.csv,jfreechart.csv
crisscross.csv,0.37,0.45,0.16,0.62,0.52,0.82,0.02
l2j.csv,0.22,0.37,0.5,0.67,0.23,0.81,0.0
libmesh.csv,0.18,0.11,0.0,0.05,0.52,0.3,0.0
mvdsv.csv,0.24,0.0,0.75,0.47,0.07,0.01,0.0
nova.csv,0.62,0.19,0.09,0.24,0.31,0.27,0.02
proftp.csv,0.0,0.09,0.0,0.73,0.0,0.07,0.07
