,n2cms.csv,maidsafe-dht.csv,nug.csv,nassp.csv,oorexx.csv
maidsafe-dht.csv,0.48,0.41,0.26,0.3,0.63
n2cms.csv,0.68,0.3,0.23,0.26,0.62
nassp.csv,0.45,0.33,0.42,0.47,0.69
nug.csv,0.43,0.11,0.57,0.17,0.67
oorexx.csv,0.4,0.3,0.26,0.3,0.74
