,n2cms.csv,maidsafe-dht.csv,nug.csv,nassp.csv,oorexx.csv
maidsafe-dht.csv,0.77,0.42,0.86,0.52,0.72
n2cms.csv,0.36,0.48,0.92,0.68,0.74
nassp.csv,0.76,0.73,0.61,0.33,0.77
nug.csv,0.7,0.94,0.36,0.82,0.6
oorexx.csv,0.82,0.48,0.83,0.53,0.45
