,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,yarp.csv
bloodycore.csv,0.24,0.09,0.32,0.59,0.06,0.1,0.0,0.05,0.08,0.0
flylegacy.csv,0.72,0.52,0.68,0.44,0.48,0.7,0.79,0.67,0.92,0.48
jguard.csv,0.84,0.09,0.7,0.74,0.73,0.67,1.0,0.79,0.92,0.72
m-a-d-n-e-s-s.csv,0.24,0.03,0.33,0.23,0.05,0.03,0.07,0.05,0.72,0.12
mob-sen-plat.csv,0.88,0.7,0.9,0.46,0.77,0.73,0.57,0.62,0.92,0.6
raygina.csv,0.64,0.0,0.62,0.39,0.17,0.3,0.29,0.21,0.28,0.32
st-filteredstatistics.csv,1.0,0.45,0.92,0.63,0.75,0.6,0.93,0.79,1.0,0.76
upp-mirror.csv,0.52,0.15,0.86,0.8,0.75,0.63,0.36,0.33,0.68,0.28
wishmaster.csv,0.24,0.18,0.46,0.39,0.56,0.37,0.71,0.1,0.44,0.4
yarp.csv,0.36,0.03,0.65,0.27,0.06,0.53,0.36,0.26,0.44,0.52
