,exordium.csv,mptvseries.csv,toped.csv,qtractor.csv,flexpay.csv,openmsx.csv,synergyspace.csv,elateportal.csv,tango-cs.csv
elateportal.csv,0.29,0.55,0.75,0.57,0.3,0.53,0.24,0.98,0.52
exordium.csv,0.7,0.39,0.76,0.54,0.31,0.2,0.15,0.09,0.38
flexpay.csv,0.37,0.22,0.47,0.44,0.33,0.47,0.14,0.24,0.23
mptvseries.csv,0.39,0.67,0.54,0.48,0.23,0.11,0.27,0.0,0.28
openmsx.csv,0.39,0.59,0.78,0.47,0.24,0.55,0.3,0.25,0.3
qtractor.csv,0.57,0.53,0.78,0.75,0.31,0.39,0.24,0.12,0.41
synergyspace.csv,0.43,0.43,0.37,0.55,0.29,0.31,0.44,0.17,0.36
tango-cs.csv,0.29,0.48,0.62,0.63,0.3,0.46,0.31,0.27,0.57
toped.csv,0.41,0.59,0.91,0.63,0.27,0.46,0.33,0.87,0.53
