,maidsafe-dht.csv,atlc.csv,theresa.csv,playerstage.csv,knowledge.csv,gnukeda.csv,enlightenment.csv,boost-sandbox.csv,yaprm.csv,kowari.csv,fceugc.csv,proftp.csv,jaolt.csv,tcvp.csv,dspace-gsoc.csv,lufa-lib.csv,xapian.csv,pixel-commandos.csv,uwom.csv
atlc.csv,0.53,0.24,0.66,0.84,0.6,0.47,0.37,0.82,0.61,0.85,0.53,0.92,0.59,0.46,0.74,0.95,0.47,0.26,0.29
boost-sandbox.csv,0.45,0.48,0.62,0.35,0.2,0.12,0.56,0.41,0.39,0.12,0.58,0.49,0.55,1.0,0.58,0.51,0.65,0.9,0.77
dspace-gsoc.csv,0.55,0.0,0.38,0.67,0.2,0.38,0.1,0.92,0.79,0.73,0.72,0.68,0.86,0.85,0.37,0.45,0.64,0.64,0.46
enlightenment.csv,0.98,0.97,1.0,1.0,1.0,1.0,0.35,1.0,1.0,1.0,0.93,1.0,1.0,0.93,1.0,0.99,0.99,0.89,0.98
fceugc.csv,0.35,0.07,0.56,0.7,0.4,0.34,0.61,0.49,0.79,0.71,0.26,0.41,0.41,0.5,0.42,0.52,0.26,0.22,0.68
gnukeda.csv,0.92,0.17,0.52,0.93,0.0,0.28,0.29,0.69,0.45,0.63,0.95,0.78,0.52,0.89,0.63,0.72,0.31,0.63,0.38
jaolt.csv,0.2,0.0,0.3,0.39,0.2,0.12,0.11,0.15,0.34,0.85,0.4,0.35,0.41,0.11,0.16,0.14,0.2,0.25,0.22
knowledge.csv,0.82,0.41,0.62,0.83,0.0,0.28,0.55,0.51,0.74,1.0,0.63,0.57,0.76,0.91,0.89,0.63,0.42,0.6,0.61
kowari.csv,0.37,0.21,0.44,0.64,0.6,0.16,0.44,0.56,0.61,0.23,0.67,0.62,0.48,0.76,0.47,0.44,0.64,0.63,0.89
lufa-lib.csv,0.67,0.31,0.86,0.23,0.8,0.59,0.48,0.44,0.45,0.22,0.49,0.41,0.48,0.69,0.42,0.32,0.69,0.76,0.4
maidsafe-dht.csv,0.25,0.21,0.28,0.73,0.8,0.22,0.15,0.72,0.76,0.42,0.53,0.57,0.41,0.41,0.74,0.18,0.61,0.23,0.3
pixel-commandos.csv,0.12,0.0,0.12,0.04,0.0,0.09,0.11,0.28,0.26,0.04,0.19,0.03,0.0,0.19,0.05,0.33,0.02,0.07,0.12
playerstage.csv,0.45,0.14,0.78,0.25,0.4,0.19,0.42,0.36,0.74,0.5,0.16,0.35,0.41,0.58,0.58,0.37,0.32,0.38,0.57
proftp.csv,0.05,0.0,0.14,0.08,0.2,0.16,0.03,0.1,0.16,0.13,0.12,0.22,0.03,0.0,0.0,0.0,0.16,0.04,0.06
tcvp.csv,0.02,0.07,0.02,0.02,0.0,0.06,0.12,0.05,0.0,0.0,0.0,0.0,0.03,0.26,0.0,0.01,0.0,0.29,0.06
theresa.csv,0.27,0.07,0.26,0.23,0.2,0.09,0.26,0.08,0.24,0.6,0.26,0.3,0.34,0.07,0.21,0.15,0.28,0.33,0.43
uwom.csv,0.72,0.31,0.0,0.37,0.0,0.38,0.59,0.59,0.05,0.63,0.47,0.51,0.48,0.68,0.21,0.34,0.0,0.35,0.26
xapian.csv,0.7,0.38,0.88,0.96,1.0,0.81,0.42,0.82,0.66,1.0,0.47,0.95,0.45,0.15,0.47,0.81,0.19,0.25,0.76
yaprm.csv,0.13,0.0,0.22,0.64,0.4,0.25,0.08,0.33,0.32,0.83,0.37,0.41,0.1,0.0,0.0,0.02,0.57,0.23,0.27
